ಆಡಳಿತಾತ್ಮಕ ಪದ (Administrative Word),ಇಂಗ್ಲೀಷ್ ಅರ್ಥ (English Meaning),ಇಂಗ್ಲೀಷ್ ಪದ (English Word),ಇಲಾಖೆ (Department),ಕನ್ನಡ ಅರ್ಥ (Kannada Meaning),ಕನ್ನಡ ಉಚ್ಚಾರಣೆ (Kannada Pronunciation),ಕನ್ನಡ ಪದ (Kannada Word),ದೀರ್ಘ ವಿವರಣೆ (Long Description),ಪರ್ಯಾಯ ಪದ (Synonyms),ವಿಷಯ ವರ್ಗೀಕರಣ (Subject),ವ್ಯಾಕರಣ ವಿಶೇಷ (Grammer),ಸಂಕ್ಷಿಪ್ತ ವಿವರಣೆ (Short Description)
,,"Bill, contingent",,"ಸಾದಿಲ್ವಾರು ಪತ್ರ, ಬಿಲ್ಲು",,,,,,,
,,Blank bill,,ಖಾಲಿ ಬಿಲ್ಲು,,,,,,,
,,Blank cheque,,"ಖಾಲಿ ಚೆಕ್‌, ನಿರಂಕಿತ ಧನಾದೇಶ",,,,,,,
,,Blank cheque book,,ಖಾಲಿ ಚೆಕ್‌ ಪುಸ್ತಕ,,,,,,,
,,Blank endorsement,,ಖಾಲಿ ಹಿಂಬರಹ,,,,,,,
,,Blank Form,,"ಖಾಲಿ ನಮೂನೆ, ಖಾಲಿ ನಮೂನೆ ಪತ್ರ, ಖಾಲಿ ಫಾರಂ",,,,,,,
,,Board,,"1. ಹಲಗೆ, ಫಲಕ 2. ಮಂಡಳಿ",,,,,,,
,,Bogus voucher,,ಖೋಟಾ/ನಕಲಿ ವೋಚರ್,,,,,,,
,,Bona fide,,1.‌ ನಿಜವಾದ 2. ವಿಶ್ವಾಸಯೋಗ್ಯ,,,,,,,
,,Bona fide mistake,,ನಿಷ್ಕಪಟವಾದ ತಪ್ಪು,,,,,,,
,,Bona fide payment,,ಸದ್ಭಾವ ಸಂದಾಯ,,,,,,,
,,Bond,,"ಬಂಧಪತ್ರ, ಬಾಂಡು",,,,,,,
,,Bond holder,,ಬಂಧಪತ್ರದಾರ,,,,,,,
,,Bond of indemnity,,ನಷ್ಟಭರ್ತಿ ಪತ್ರ,,,,,,,
,,Bonus,,"ಅಧಿಲಾಭಾಂಶ, ಬೋನಸ್",,,,,,,
,,Book adjustment,,ಪುಸ್ತಕ ಹೊಂದಾಣಿಕೆ,,,,,,,
,,Broad classification,,"ಸ್ಥೂಲ ವರ್ಗೀಕರಣ, ವಿಶಾಲ/ವಿಸ್ತಾರ ವರ್ಗೀಕರಣ",,,,,,,
,,Broadcast receivers licence stamps,,ರೇಡಿಯೋ ಲೈಸೆನ್ಸ್‌ ಮುದ್ರಾಂಕ /ಸ್ಟಾಂಪು,,,,,,,
,,Broadsheet,,ಸ್ಥೂಲಪತ್ರ,,,,,,,
,,Broker,,"ದಳ್ಳಾಳಿ, ಬ್ರೋಕರ್‌",,,,,,,
,,Brokerage,,ದಳ್ಳಾಳಿ ಶುಲ್ಕ,,,,,,,
,,Brokers note stamp,,"ದಳ್ಳಾಳಿ ಚೀಟಿ ಮುದ್ರಾಂಕ, ದಳ್ಳಾಳಿ ನೋಟು ಸ್ಟಾಂಪು",,,,,,,
,,Budget,,"ಮುಂಗಡ ಪತ್ರ, ಆಯವ್ಯಯ ಪತ್ರ, ಬಜೆಟ್",,,,,,,
,,Budget allotment,,ಬಜೆಟ್‌ ಹಂಚಿಕೆ,,,,,,,
,,Budget estimates,,ಆಯವ್ಯಯ ಅಂದಾಜುಗಳು,,,,,,,
,,Budget grant,,ಆಯವ್ಯಯದ ಅನುದಾನ,,,,,,,
,,Budget memorandum,,"ಆಯವ್ಯಯ ಜ್ಞಾಪನ ಪತ್ರ, ಮುಂಗಡ ಜ್ಞಾಪನ ಪತ್ರ",,,,,,,
,,Budget provision,,ಆಯವ್ಯಯ ವ್ಯವಸ್ಥೆ,,,,,,,
,,Budget reconciliation section,,ಆಯವ್ಯ ಸಮನ್ವಯ ಶಾಖೆ,,,,,,,
,,Budgetary control,,ಆಯವ್ಯಯ ನಿಯಂತ್ರಣ,,,,,,,
,,Business hours,,"ವ್ಯವಹಾರದ ವೇಳೆ, ಕೆಲಸದ ವೇಳೆ",,,,,,,
,,By authority of,,ಅಧಿಕಾರದಿಂದ,,,,,,,
,,Calculate,,"ಲೆಕ್ಕಮಾಡು, ಗಣನೆ ಮಾಡು",,,,,,,
,,Calculator,,"ಗಣಕಯಂತ್ರ, ಕ್ಯಾಲ್‌ಕ್ಯುಲೇಟರ್‌",,,,,,,
,,Calendar month,,ಕ್ಯಾಲೆಂಡರ್‌ ತಿಂಗಳು,,,,,,,
,,Calendar of return,,ಕಾಲಿಕ ವರದಿಗಳ ಪುಸ್ತಕ,,,,,,,
,,Calendar year,,ಕ್ಯಾಲೆಂಡರ್‌ ವರ್ಷ,,,,,,,
,,Call loan,,"ಕರೆಸಾಲ, ಕೇಳಿದೊಡನೆಯೆ ಕೊಡಬೇಕಾದ ಸಾಲ",,,,,,,
,,Cancellation,,ರದ್ದಿಯಾತಿ,,,,,,,
,,Cancellation advice,,ರದ್ದಿಯಾತಿ ಸೂಚನೆ/ಸಲಹೆ,,,,,,,
,,Cancelled cheque,,ರದ್ದಾದ ಚೆಕ್,,,,,,,
,,Carbon copy,,ಕಾರ್ಬನ್‌ ಪ್ರತಿ,,,,,,,
,,Carbon sheet,,ಕಾರ್ಬನ್‌ ಕಾಗದ,,,,,,,
,,Card index,,"ಪತ್ರಕ ಸೂಚಿ‌, ಕಾರ್ಡ್‌ ಇಂಡೆಕ್ಸ್",,,,,,,
,,Carried forward /carried over,,"1. ಮುಂದುವರಿಸಿದ 2. ಮುಂದಕ್ಕೆ ತಂದ, ಮುಂದಕ್ಕೆ ವರ್ಗಾಯಿಸಿದ",,,,,,,
,,Cash,,ನಗದು,,,,,,,
,,Cash account,,ನಗದು ಲೆಕ್ಕ,,,,,,,
,,Cash balance,,ನಗದು ಶಿಲ್ಕು,,,,,,,
,,Cash balance report,,ನಗದು ಶಿಲ್ಕು ವರದಿ,,,,,,,
,,Cash book,,ನಗದು ಪುಸ್ತಕ,,,,,,,
,,Cash box,,ನಗದು ಪೆಟ್ಟಿಗೆ,,,,,,,
,,Cash deposit,,ನಗದು ಠೇವಣಿ,,,,,,,
,,Cash in hand,,"ಕೈ ಶಿಲ್ಕು, ಕೈ ನಗದು",,,,,,,
,,Cash memo,,"ನಗದು ಚೀಟಿ, ಕ್ಯಾಷ್‌ ಮೆಮೊ",,,,,,,
,,Cash payment,,"ನಗದು ಪಾವತಿ, ನಗದು ಸಂದಾಯ",,,,,,,
,,Cash register,,ನಗದು ಪುಸ್ತಕ,,,,,,,
,,Cash transactions,,ನಗದು ವಹಿವಾಟು,,,,,,,
,,Cashier,,"ನಗದು ಗುಮಾಸ್ತ, ಕ್ಯಾಷಿಯರ್",,,,,,,
,,Caution deposit,,ಸಾವಧಾನ ಠೇವಣಿ,,,,,,,
,,Caution money,,ಸಾವಧಾನ ಹಣ,,,,,,,
,,Cell,,"ಕಿರು ವಿಭಾಗ, ಕಿರು ಘಟಕ",,,,,,,
,,Cent percent verification,,ಸಂಪೂರ್ಣ ಸತ್ಯಾಪನ,,,,,,,
,,Central,,"ಕೇಂದ್ರ, ಕೇಂದ್ರೀಯ",,,,,,,
,,Central funds,,ಕೇಂದ್ರ ನಿಧಿಗಳು,,,,,,,
,,Central revenue,,ಕೇಂದ್ರ ಕಂದಾಯ/ರಾಜಸ್ವ,,,,,,,
,,Central transactions,,ಕೇಂದ್ರ ಸರ್ಕಾರದ ವಹಿವಾಟು,,,,,,,
,,Certificate,,"ಪ್ರಮಾಣಪತ್ರ, ದೃಢೀಕರಣ ಪತ್ರ, ಅರ್ಹತಾ ಪತ್ರ",,,,,,,
,,Certificate of acceptance,,"ಒಪ್ಪಿಗೆ ಪತ್ರ, ಅಂಗೀಕಾರ ಪತ್ರ",,,,,,,
,,Certificate of charge,,ಪ್ರಭಾರ ಪ್ರಮಾಣಪತ್ರ,,,,,,,
,,Certificate of credit,,ಜಮಾ ಪತ್ರ,,,,,,,
,,Certificate of non-employment,,ವೃತ್ತಿಶೂನ್ಯತಾ ಪತ್ರ,,,,,,,
,,Certificate of non-marriage,,ವಿವಾಹಹೀನತಾ ಪತ್ರ,,,,,,,
,,Certificate of non-re marriage,,ಪುನರ್ವಿವಾಹಹೀನತಾ ಪತ್ರ,,,,,,,
,,Certificate of payment,,ಸಂದಾಯ ಪತ್ರ,,,,,,,
,,Certificate of physical fitness,,ದೇಹದಾರ್ಢ್ಯ ಪ್ರಮಾಣಪತ್ರ,,,,,,,
,,Certificate of total issues,,ಒಟ್ಟು ಸಂದಾಯ ಪ್ರಮಾಣಪತ್ರ,,,,,,,
,,Certificate of transfer of charge,,ಪ್ರಭಾರ ವರ್ಗಾವಣೆ ಪತ್ರ,,,,,,,
,,Certified copy,,ಪ್ರಮಾಣಿತ ಪತ್ರ,,,,,,,
,,Certify,,ಪ್ರಮಾಣೀಕರಿಸು,,,,,,,
,,Cess,,ಉಪಕರ,,,,,,,
,,"Cess, local",,ಸ್ಥಳೀಯ ಉಪಕರ,,,,,,,
,,Challan,,ಚಲನ್,,,,,,,
,,Charge,,"1. ಪ್ರಭಾರ, ಕಾರ್ಯಭಾರ, ಅಧಿಕಾರ 2. ಜವಾಬ್ದಾರಿ, ಹೊಣೆ 3. ಖರ್ಚು, ವೆಚ್ಚ",,,,,,,
,,Charge allowance,,ಪ್ರಭಾರ ಭತ್ಯೆ,,,,,,,
,,Charge of office,,ಹುದ್ದೆಯ ಪ್ರಭಾರ,,,,,,,
,,Chargeable with stamp duty,,"ಸ್ಟಾಂಪು ಶುಲ್ಕಕ್ಕೆ ಗುರಿಯಾಗುವ, ಒಳಪಡುವ",,,,,,,
,,Charitable and religious endowment deposit,,ಧರ್ಮಾದಾಯ ಮತ್ತು ಮತ ಸಂಬಂಧವಾದ ದತ್ತಿ ಠೇವಣಿಗಳು,,,,,,,
,,Charitable endowment deposit,,ಧರ್ಮದತ್ತಿ ಠೇವಣಿ,,,,,,,
,,Chartered Accountant (C.A.),,"ಸನ್ನದು ಲೆಕ್ಕಿಗ, ಚಾರ್ಟರ್ಡ್‌ ಅಕೌಂಟೆಂಟ್",,,,,,,
,,Check,,"ಪರೀಕ್ಷಿಸು, ತಾಳೆ ನೋಡು",,,,,,,
,,Check register of incorporation sub-treasury transactions,,ಉಪಖಜಾನೆ ವಹಿವಾಟುಗಳ ಸಂಕಲನ ರಿಜಿಸ್ಟರ್‌,,,,,,,
,,Check signal book,,"ಸಂಜ್ಞಾ ಪುಸ್ತಕ, ಚೆಕ್‌ ಸಿಗ್ನಲ್‌ ಪುಸ್ತಕ",,,,,,,
,,Cheque,,ಚೆಕ್,,,,,,,
,,Cheque book,,ಚೆಕ್‌ ಪುಸ್ತಕ,,,,,,,
,,Cheque crossed generally,,ಸಾಮಾನ್ಯ ಕ್ರಾಸ್‌ ಮಾಡಿದ ಚೆಕ್‌,,,,,,,
,,Cheque crossed specially,,ವಿಶೇಷ ಕ್ರಾಸ್‌ ಮಾಡಿದ ಚೆಕ್‌,,,,,,,
,,Cheque issued,,ಕೊಟ್ಟ ಚೆಕ್,,,,,,,
,,Cheque received,,"ಪಡೆದ ಚೆಕ್‌, ಸ್ವೀಕರಿಸಿದ ಚೆಕ್‌",,,,,,,
,,Cheques on local banks,,ಸ್ಥಳೀಯ ಬ್ಯಾಂಕುಗಳಿಗೆ ಬರೆದ ಚೆಕ್‌,,,,,,,
,,Chief accountant,,ಮುಖ್ಯ ಲೆಕ್ಕಿಗ,,,,,,,
,,Chief clerk,,ಮುಖ್ಯ ಗುಮಾಸ್ತ/ಕಾರಕೂನ,,,,,,,
,,Chief instructor (Treasury Training),,ಪ್ರಮುಖ/ಮುಖ್ಯ ಬೋಧಕ(ಖಜಾನೆ ತರಬೇತಿ) ಮುಖ್ಯ ಶಿಕ್ಷಕ (ಖಜಾನೆ ತರಬೇತಿ),,,,,,,
,,Circular,,ಸುತ್ತೋಲೆ,,,,,,,
,,Circular letter,,ಪರಿಪತ್ರ,,,,,,,
,,Civil court deposits,,ಸಿವಿಲ್‌ ನ್ಯಾಯಾಲಯ ಠೇವಣಿಗಳು,,,,,,,
,,Civil deposits,,ಸಿವಿಲ್‌ ಠೇವಣಿಗಳು,,,,,,,
,,Civil pension,,ಸಿವಿಲ್‌ ವಿಶ್ರಾಂತಿ ವೇತನ,,,,,,,
,,Claim,,"ಹಕ್ಕು ಸಾಧನೆ, ಕ್ಲೈಮ್",,,,,,,
,,Classification of transactions,,ವಹಿವಾಟುಗಳ ವರ್ಗೀಕರಣ,,,,,,,
,,Classified,,"ವರ್ಗೀಕರಿಸಿದ, ವರ್ಗೀಕೃತ",,,,,,,
,,Classify,,ವರ್ಗೀಕರಿಸು,,,,,,,
,,Clearance certificate,,"ತೀರಿಕೆ ಪತ್ರ, ಚುಕ್ತಾ ಪತ್ರ",,,,,,,
,,Clearing,,ತೀರಿಕೆ,,,,,,,
,,Clearing a bill,,ಬಿಲ್ಲು /ಹುಂಡಿ ತೀರಿಕೆ,,,,,,,
,,Clearing house,,ಚೆಕ್‌ ತೀರುವೆ ಕೇಂದ್ರ,,,,,,,
,,Closing balance,,ಆಖೈರು ಶಿಲ್ಕು,,,,,,,
,,Closing date,,"ಆಖೈರು ತಾರೀಖು, ಕೊನೆಯ ದಿನಾಂಕ",,,,,,,
,,Closing entry,,ಮುಕ್ತಾಯದ ನಮೂದು,,,,,,,
,,Closing for the day,,ದೈನಂದಿನ ಲೆಕ್ಕ ಮುಕ್ತಾಯ,,,,,,,
,,Closing of accounts,,ಲೆಕ್ಕ ಮುಕ್ತಾಯ,,,,,,,
,,Closing stock,,ಕೊನೆಯ/ಆಖೈರು ದಾಸ್ತಾನು,,,,,,,
,,Codal provisions,,ಸಂಹಿತಾ ಉಪಬಂಧಗಳು,,,,,,,
,,Code,,"ಸಂಹಿತೆ, ನಿಯಮಾವಳಿ",,,,,,,
,,Coin,,ನಾಣ್ಯ,,,,,,,
,,Coin money,,ನಾಣ್ಯ ಧನ,,,,,,,
,,Coinage,,"ನಾಣ್ಯ ಪದ್ದತಿ, ಟಂಕನ",,,,,,,
,,Collateral security,,"ಆನುಷಂಗಿಕ ಜಾಮೀನು, ಪೂರಕ ಜಾಮೀನು",,,,,,,
,,commemoration stamp,,ಸ್ಮಾರಕ ಮುದ್ರಾಂಕ/ಸ್ಟಾಂಪು/ಅಂಚೆ ಚೀಟಿ,,,,,,,
,,Commercial undertaking,,ವಾಣಿಜ್ಯೋದ್ಯಮ,,,,,,,
,,Common seal,,ಸಾಮಾನ್ಯ ಮೊಹರು/ಮುದ್ರೆ/ಸೀಲು,,,,,,,
,,Commutation of pensions,,ವಿಶ್ರಾಂತಿ ವೇತನ ವಿನಿಮಯ,,,,,,,
,,Compensation pension,,ಪರಿಹಾರ ವಿಶ್ರಾಂತಿ ವೇತನ,,,,,,,
,,Competent authority,,ಸಕ್ಷಮ ಪ್ರಾಧಿಕಾರ,,,,,,,
,,Competent to investigate,,ತನಿಖೆ ಮಾಡಲು ಸಕ್ಷಮವಾದ,,,,,,,
,,Compilation of accounts,,ಲೆಕ್ಕ ಸಂಕಲನ,,,,,,,
,,Compilation of data,,ಮಾಹಿತಿ ಸಂಕಲನ,,,,,,,
,,Comptometer,,ಗಣಕ ಯಂತ್ರ,,,,,,,
,,Comptroller and Auditor General,,ನಿಯಂತ್ರಕ ಮತ್ತು ಮಹಾಲೇಖಾ ಪರೀಕ್ಷಕ,,,,,,,
,,Compulsory deposit,,ಕಡ್ಡಾಯ ಠೇವಣಿ,,,,,,,
,,Compulsory deposit scheme,,ಕಡ್ಡಾಯ ಠೇವಣಿ ಯೋಜನೆ,,,,,,,
,,Concurrence,,"ಒಪ್ಪಿಗೆ, ಸಹಮತಿ, ಸಮ್ಮತಿ",,,,,,,
,,Concurrent audit,,ಸಮವರ್ತಿ ಲೆಕ್ಕಪರಿಶೋಧನೆ,,,,,,,
,,Condemned stock,,ನಿರುಪಯುಕ್ತ ಸರಕು,,,,,,,
,,Confidential report,,"ಗೌಪ್ಯ ವರದಿ, ಗುಟ್ಟು ವರದಿ",,,,,,,
,,Confirm,,"ಸ್ಥಿರೀಕರಿಸು, ಕಾಯಂ ಮಾಡು/ಗೊಳಿಸು, ಸ್ಥಿರಪಡಿಸು",,,,,,,
,,Consequently,,ತತ್ಪರಿಣಾಮವಾಗಿ,,,,,,,
,,Consolidated,,"ಒಟ್ಟುಗೂಡಿಸಿದ, ಕ್ರೋಡೀಕರಿಸಿದ, ಏಕೀಕರಿಸಿದ, ಸಂಚಿತ",,,,,,,
,,Consolidated Fund of India,,ಭಾರತದ ಸಂಚಿತ ನಿಧಿ,,,,,,,
,,Consolidated Fund of the State,,ರಾಜ್ಯದ ಸಂಚಿತ ನಿಧಿ,,,,,,,
,,Consolidated statement,,"ಸಂಚಿತ ವಿವರಣ ಪತ್ರ, ಕ್ರೋಡೀಕೃತ ವಿವರಣ ಪತ್ರ",,,,,,,
,,Conspicuous place,,ಎದ್ದು ಕಾಣುವ ಸ್ಥಳ,,,,,,,
,,consular stamp,,ಕಾನ್‌ಸುಲರ್‌ ಸ್ಟಾಂಪು/ಮುದ್ರಾಂಕ,,,,,,,
,,Consumption,,ವಿನಿಯೋಗ ಬಳಕೆ,,,,,,,
,,Content Slip,,ಅಡಕ ಸೂಚಿ,,,,,,,
,,Contingency,,ಸಾದಿಲ್ವಾರು,,,,,,,
,,Contingency account,,ಸಾದಿಲ್ವಾರು ಲೆಕ್ಕ,,,,,,,
,,Contingency fund,,ಸಾದಿಲ್ವಾರು ನಿಧಿ,,,,,,,
,,Contingent bill,,ಸಾದಿಲ್ವಾರು ಬಿಲ್‌,,,,,,,
,,Contingent charges,,ಸಾದಿಲ್ವಾರು ವೆಚ್ಚ,,,,,,,
,,Contingent claim,,"ಘಟನಾವಲಂಬಿ ಕ್ಲೈಮ್‌, ಸೋಪಾಧಿಕ ಕ್ಲೈಮ್",,,,,,,
,,Contingent expenditure,,ಸಾದಿಲ್ವಾರು ವೆಚ್ಚ/ಖರ್ಚು,,,,,,,
,,Contra entry,,"ಇದಿರು ದಾಖಲೆ, ವಿರೋಧ ದಾಖಲೆ, ಅಡ್ಡ ನಮೂದು, ಎದುರು ನಮೂದು",,,,,,,
,,Contract contingency,,ಕರಾರು ಸಾದಿಲ್ವಾರು,,,,,,,
,,Contributions,,"ವಂತಿಗೆ, ಚಂದಾ",,,,,,,
,,"Controller of accounts Defence pensions, 
- Allahabad)",,"ಲೆಕ್ಕ ನಿಯಂತ್ರಕ (ರಕ್ಷಣಾ ವಿಶ್ರಾಂತಿ ವೇತನ, ಅಲಹಾಬಾದ್)",,,,,,,
,,Controlling authority,,"ನಿಯಂತ್ರಕ ಪ್ರಾಧಿಕಾರ, ಪ್ರಾಧಿಕಾರಿ",,,,,,,
,,Controlling officer,,ನಿಯಂತ್ರಣಾಧಿಕಾರಿ,,,,,,,
,,Conversion,,"ಬದಲಾವಣೆ, ಪರಿವರ್ತನೆ",,,,,,,
,,Conversion value,,ಪರಿವರ್ತನ ಮೌಲ್ಯ,,,,,,,
,,Conveyance allowance,,ವಾಹನ ಭತ್ಯೆ,,,,,,,
,,Copper coin,,ತಾಮ್ರ ನಾಣ್ಯ,,,,,,,
,,Copy,,"ಪ್ರತಿ, ನಕಲು",,,,,,,
,,Copying fees stamps,,ನಕಲು ರುಸುಮು/ನಕಲು ಶುಲ್ಕ ಮುದ್ರಾಂಕಗಳು,,,,,,,
,,Copying stamps,,ನಕಲು ಮುದ್ರಾಂಕಗಳು,,,,,,,
,,Correct advice,,ಸೂಕ್ತ ಸಲಹೆ,,,,,,,
,,Corrigenda,,ತಿದ್ದೋಲೆ,,,,,,,
,,Cost,,"ಬೆಲೆ, ಕ್ರಯ",,,,,,,
,,Count,,"ಗಣನೆ, ಎಣಿಕೆ, ಲೆಕ್ಕ",,,,,,ನಾಮಪದ,
,,Count,,ಎಣಿಸು,,,,,,ಕ್ರಿಯಾಪದ,
,,Counter,,"1. ಗಲ್ಲಾ, ಗಲ್ಲೆ, ಕೌಂಟರ್‌ 2.ಗಣಕ",,,,,,,
,,Counter balance,,"ಸಮತೂಕ, ಸಮಭಾರ, ಪಡಿತೂಕ",,,,,,,
,,Counter statement,,ಪ್ರತಿ ಹೇಳಿಕೆ,,,,,,,
,,Counterfeit coin,,ಖೋಟಾ ನಾಣ್ಯ,,,,,,,
,,Counterfoil,,"ಪಕ್ಕದ ಪ್ರತಿ, ಇದಿರು ಪ್ರತಿ",,,,,,,
,,Counterpart,,1. ಪ್ರತಿರೂಪ 2. ಪೂರಕ (ಪತ್ರ),,,,,,,
,,Countersign,,"1. ಮೇಲು ರುಜು 2. ಅಂಗೀಕರಿಸು, ಸ್ಥಿರೀಕರಿಸು",,,,,,,
,,Countersignature,,"ಮೇಲು ರುಜು/ಸಹಿ, ಪ್ರತಿ ರುಜು",,,,,,,
,,Countersigned,,ಮೇಲು ರುಜು ಹಾಕಿದ,,,,,,,
,,Countersigned contingencies,,ಮೇಲು ರುಜು ಹಾಕಿದ ಸಾದಿಲ್ವಾರು,,,,,,,
,,Coupon,,"ಗುರುತು ಚೀಟಿ, ಕೂಪನ್",,,,,,,
,,Court fee,,"ನ್ಯಾಯಾಲಯ ಶುಲ್ಕ, ಕೋರ್ಟ್‌ ಫೀಸು",,,,,,,
,,Court fee stamp,,"ನ್ಯಾಯಾಲಯ ಶುಲ್ಕ, ಮುದ್ರಾಂಕ, ಕೋರ್ಟ್‌ ಫೀಸು ಸ್ಟಾಂಪು",,,,,,,
,,Covering schedule,,ಆವರಣ ಅನುಸೂಚಿ,,,,,,,
,,Credit,,ಜಮಾ,,,,,,ನಾಮಪದ,
,,Credit,,ಜಮಾಕಟ್ಟು,,,,,,ಕ್ರಿಯಾಪದ,
,,Credit balance,,ಜಮಾ ಶಿಲ್ಕು,,,,,,,
,,Credit entry,,ಜಮಾ ನಮೂದು,,,,,,,
,,Credit note,,ಜಮಾ ಪತ್ರ,,,,,,,
,,Credit slip,,ಜಮಾ ಚೀಟಿ,,,,,,,
,,Criminal court deposits,,ಕ್ರಿಮಿನಲ್‌ ನ್ಯಾಯಾಲಯ ಠೇವಣಿಗಳು,,,,,,,
,,Cross total,,ಅಡ್ಡ ಜುಮ್ಲಾ,,,,,,,
,,Crossed cheque,,"ಅಡ್ಡಗೆರೆ ಎಳೆದ ಚೆಕ್‌, ಕ್ರಾಸ್‌ ಮಾಡಿದ ಚೆಕ್",,,,,,,
,,Crossing of efficiency bar,,ದಕ್ಷತಾವರೋಧವನ್ನು ದಾಟುವುದು,,,,,,,
,,Cumulative,,"ಸಂಚಿತ, ಒಟ್ಟು",,,,,,,
,,Cumulative deposit,,ಸಂಚಿತ ಠೇವಣಿ,,,,,,,
,,Currency,,1. ನಾಣ್ಯ 2. ಚಲಾವಣೆ,,,,,,,
,,Currency chest,,"ನಾಣ್ಯ ಪೆಟ್ಟಿಗೆ, ಧನಕೋಶ, ಕರೆನ್ಸಿ ಚೆಸ್ಟ್",,,,,,,
,,Currency note,,"ಚಲಾವಣೆ ನೋಟು, ಕರೆನ್ಸಿ ನೋಟು",,,,,,,
,,Currency of the claim,,ಕ್ಲೈಮಿನ ಪ್ರಚಲಿತತೆ,,,,,,,
