ಕನ್ನಡ ಪದ (Kannada Word),ಇಂಗ್ಲೀಷ್ ಪದ (English Word),ಕನ್ನಡ ಅರ್ಥ (Kannada Meaning),ಪರ್ಯಾಯ ಪದ (Synonyms),ವಿಷಯ ವರ್ಗೀಕರಣ (Subject),ವ್ಯಾಕರಣ ವಿಶೇಷ (Grammer),ಇಲಾಖೆ (Department),ಕನ್ನಡ ಉಚ್ಚಾರಣೆ (Kannada Pronunciation),ಇಂಗ್ಲೀಷ್ ಅರ್ಥ (English Meaning),ಸಂಕ್ಷಿಪ್ತ ವಿವರಣೆ (Short Description),ದೀರ್ಘ ವಿವರಣೆ (Long Description),ಆಡಳಿತಾತ್ಮಕ ಪದ (Administrative Word)
,Argyreia sericea,ಆರ್ಜೀರಿಯ ಸಿರಿಶಿಯ; ಎಮ್ಮೆಬಳ್ಳಿ,,,,,,,,,
,Argyreia speciosa (elephant creeper),ಆರ್ಜೀರಿಯ ಸ್ಟೀಶಿಯೋಸ; ಚಂದ್ರಪಾದ/ಸಮುದ್ರ ಬಳ್ಳಿ,,,,,,,,,
,arid,ಒಣ; ಶುಷ್ಕ,,,,,,,,,
,arid climate,ಶುಷ್ಕ ಹವಾಗುಣ,,,,,,,,,
,arid region,1. ಒಣ/ಶುಷ್ಕ ಪ್ರದೇಶ 2. ಬಂಜರು ಪ್ರದೇಶ,,,,,,,,,
,arid soil,ಒಣ ಮಣ್ಣು/ಭೂಮಿ,,,,,,,,,
,aril,ಬೀಜ ಪುಚ್ಛ,,,,,,,,,
,arillode,ಮಿಢ್ಯಾ ಬೀಜಪುಚ್ಛ,,,,,,,,,
,arilloid,ಬೀಜ ಪುಚ್ಛದಂತಿರುವ,,,,,,,,,
,Arisaema tortuosum,ಆರಿಸೀಮ ಟಾರ್ಟುಓಸಂ; ಕಾಡುಸುವರ್ಣಗಡ್ಡೆ,,,,,,,,,
,arista,ಊಬು,,,,,,,,,
,aristate,ಊಬುಳ್ಳ,,,,,,,,,
,Aristida adscensionis,ಅರಿಸ್ಟಿಡ ಅಡ್‌ಸೆನ್ಸಿಯೋನಿಸ್; ‌ ಕಾಡು ನನೆಹುಲ್ಲು,,,,,,,,,
,Aristida funiculata,ಅರಿಸ್ಟಿಡ ಫ್ಯೂನಿಕ್ಯುಲೇಟ್; ‌ ತ್ರಿಶೂಲಊಬಿನ ಹುಲ್ಲು,,,,,,,,,
,Aristida hysrtix,ಅರಿಸ್ಟಿಡ ಹಿಸ್ಟ್ರಿಕ್ಸ್‌; ಕಾಡುಹಂಚಿಕಡ್ಡಿ,,,,,,,,,
,Aristida redacta,ಅರಿಸ್ಟಿಡ ರಿಡ್ಯಾಕ್ಟ; ಉಸ್ಮಾನಿಹುಲ್ಲು,,,,,,,,,
,Aristida setacea,ಅರಿಸ್ಟಿಡ ಸಿಟೇಶಿಯ; ನಾಯಿಹಂಚಿಕಡ್ಡಿ ಹುಲ್ಲು,,,,,,,,,
,Aristolochia bracteata,ಅರಿಸ್ಟೊಲೋಕಿಯ ಬ್ರ‍್ಯಾಕ್ಟಿಯೇಟ; ಕತ್ತೆಕಿರುಬನ ಗಿಡ,,,,,,,,,
,Aristolochia indica (Indian birthwort),"ಅರಿಸ್ಟೊಲೋಕಿಯ ಇಂಡಿಕ; ಈಶ್ವರಿ (ಬೇರು, ಬಳ್ಳಿ); ಗೋತಾಲಪುಟ್ಟಿ ತೊಪ್ಪಲು",,,,,,,,,
,armature,(ಪ್ರಾಣಿ/ಸಸ್ಯಗಳ ವಿ.ದಲ್ಲಿ) ರಕ್ಷಾವರಣ,,,,,,,,,
,arminacadillo,Urena lobata,,,,,,,,,
,armyworm,ಸೈನ್ಯಹುಳು,,,,,,,,,
,arnatto,Bixa orellana,,,,,,,,,
,Arnica,ಆರ್ನಿಕ; ಬೆಟ್ಟದ ಹೊಗೆಸೊಪ್ಪಿನ ಒಂದು ಸಸ್ಯಜಾತಿ,,,,,,,,,
,aromatic,ಸುವಾಸನೆಯುಳ್ಳ,,,,,,,,,
,aromatic compounds,ಸುಗಂಧ ಸಂಯುಕ್ತಗಳು,,,,,,,,,
,aromatic plants,ಸುಗಂಧ ಸಸ್ಯಗಳು,,,,,,,,,
,arrhizal,ಬೇರುರಹಿತ; ಬೇರಿಲ್ಲದ,,,,,,,,,
,arsenate,ಅರ್ಸನೇಟ್‌; ಒಂದು ಲವಣ,,,,,,,,,
,arsenic,ಶಂಖಪಾಷಾಣ,,,,,,,,,
,Artabotrys odoratissimus,ಆರ್ಟಾಬಾಟ್ರಿಸ್‌ ಓಡೊರ‍್ಯಾಟಿಸಿಮಸ್; ‌ ಮನೋರಂಜನ/ಮದನಮಸ್ತಿ ಬಳ್ಳಿ,,,,,,,,,
,Artemisia abortanum,ಆರ್ಟಿಮಿಸಿಯ ಅಬ್ರೊಟ್ಯಾನಮ್; ‌ ದವನ,,,,,,,,,
,Artemisia absinthium (wormwood),ಆರ್ಟಿಮಿಸಿಯ ಅಬ್‌ಸಿಂತಿಯಮ್; ‌ ಒಂದು ಗಿಡಮೂಲಿಕೆ,,,,,,,,,
,Artemisia dracunculus (tarragon),ಆರ್ಟಿಮಿಸಿಯ ಡ್ರ‍್ಯಾಕನ್‌ಕ್ಯಲಸ್; ‌ ಟೆರಗಾನ್‌ ಸಸ್ಯ; ಒಂದು ಪಚಡಿ ಸಸ್ಯ,,,,,,,,,
,Artemisia maritima (worm seed; santonica),ಆರ್ಟಿಮಿಸಿಯ ಮ್ಯಾರಟೈಮ; ಕಿರ್ಮೂಲ ಗಿಡ; ಜಠರಕ್ರಿಮಿನಾಶಿನೀಗಿಡ; ಒಂದು ಕರುಳುಕ್ರಿಮಿನಾಶಿನಿ,,,,,,,,,
,Artemisia pallens,ಆರ್ಟಿಮಿಸಿಯ ವ್ಯಾಲೆನ್ಸ್; ‌ ದವನ,,,,,,,,,
,Artemisia vulgari's (Indian warm-wood; mugwort),ಆರ್ಟಿಮಿಸಿಯ ವಲ್ಗ್ಯಾರಿಸ್; ‌ ಮಾಚಿ/ಮಂಚಿ ಪತ್ರೆ,,,,,,,,,
,artesian well,ಚಿಲುಮೆ ಬಾವಿ,,,,,,,,,
,arthrobacter,ಆರ್ತ್ರೊಬ್ಯಾಕ್ಟರ್; ‌ ಮಣ್ಣಿನಲ್ಲಿರುವ ಒಂದು ಜಾತಿಯ ದಂಡಾಣು,,,,,,,,,
,arthropods,ಸಂಧಿಪದಿಗಳು,,,,,,,,,
,articulate,ಸೇರಿಕೊಂಡಿರುವ; ಗೆಣ್ಣುಗಳಿಂದ ಕೂಡಿದ,,,,,,,,,
,artificial chemical manure,fertilizer,,,,,,,,,
,artificial classificataion,ಕೃತಕವರ್ಗೀಕರಣ,,,,,,,,,
,artistic,ಕಲಾತ್ಮಕ,,,,,,,,,
,Artocarpus hirsuta (wild jack),ಆರ್ಟೊಕಾರ್ಪಸ್‌ ಹಿರ್ಸುಟ; ಹೆಬ್ಬಲಸು,,,,,,,,,
,Artocarpus incisa (breadfruit),ಆರ್ಟೊಕಾರ್ಪಸ್‌ ಇನ್ ಸೈಸ; ರೊಟ್ಟಿ/ಸೀಮೆ ಹಲಸು,,,,,,,,,
,Artocarpus integrifolia (Indian jack tree; jack fruit),ಆರ್ಟೊಕಾರ್ಪಸ್‌ ಇಂಟೆಗ್ರಿಫೋಲಿಯ; ಹಲಸಿನ (ಮರ ಹಣ್ಣು),,,,,,,,,
,Artocarpus lakoocha (lackoocha; monkey jack),ಆರ್ಟೊಕಾರ್ಪಸ್‌ ಲಕೂಚ; ವಾಟೆ/ಲಕೂಚ ಮರ,,,,,,,,,
,arum,Colocasia antiquorum/esculenta (arum; taro),,,,,,,,,
,Arundinella setosa,ಅರಂಡನೆಲ ಸೆಟೋಸ; ಹಕ್ಕಿ ವಾರ್ಚಿ; ಮರಗತಟ್ಟು ಹುಲ್ಲು,,,,,,,,,
,Arundo donax (gaint reed),ಅರಂಡೊ ಡೊನ್ಯಾಕ್ಸ್; ‌ ಲಾಳದಕಡ್ಡಿ,,,,,,,,,
,Arundo donax var. variegata,ಅರಂಡೊ ಡೊನ್ಯಾಕ್ಸ್ ವೆ. ವೇರಿಗೇಟ್; ‌ ಬಿಳಿಲಾದ ಕಡ್ಡಿ,,,,,,,,,
,"Arundo donax, var. versicolor",ಅರಂಡೊ ಡೊನ್ಯಾಕ್ಸ್ ವೆ. ವರ್ಸಿಕಲರ್; ‌ ಅಲಂಕಾರಕ್ಕಾಗಿ ಬಳಸುವ ಒಂದು ಹುಲ್ಲು,,,,,,,,,
,asaf(o)etida,Ferula assafoetida,,,,,,,,,
,ascending stem,ಅಡರು/ಏರು ಕಾಂಡ,,,,,,,,,
,Asclepias asthmatica,Tylophora asthmatica,,,,,,,,,
,Asclepias curassavica (blood-flower; false ipecac),ಆಸೆಕ್ಲೆಪಿಯಸ್‌ ಕ್ಯುರಸಾವಿಕ; ಕಾಕತುಂಡಗಿಡ; ಒಂದು ಔಷಧಸಸ್ಯ,,,,,,,,,
,asepalous,ಪುಷ್ಪಪಾತ್ರಪತ್ರರಹಿತ; ಹೂವಿನಲ್ಲಿ ಸೆಪಲ್ಲುಗಳಿಲ್ಲದ,,,,,,,,,
,asepsis,ಪೂತಿರಾಹಿತ್ಯ; ಕೊಳೆಯುವಂತೆ ಮಾಡುವ ಪದಾರ್ಥವಾಗಲಿ ವಿಷಾಣುಗಳಾಗಲಿ ಇಲ್ಲದಿರುವುದು,,,,,,,,,
,asexual reproduction,ನಿರ್ಲಿಂಗಸಸ್ಯಾಭಿವೃದ್ಧಿ,,,,,,,,,
,ash,ಭಸ್ಮ; ಬೂದಿ,,,,,,,,,
,ash gourd,Benincasa hispida,,,,,,,,,
,Asiatic cotton,Gossypium herbaceum,,,,,,,,,
,Asiatic pennywort,Hydrocotyle asiatica,,,,,,,,,
,Asoka tree,Saraca indica,,,,,,,,,
,asparagine,ಅಸ್ಪ್ಯಾರಜಿನ್; ‌ ಬೀಜಆಮಿನೋಆಮ್ಲ,,,,,,,,,
,asparagus adscendens,ಆಸ್‌ಪ್ಯಾರಗಸ್‌ ಆಡೆಸೆಂಡೆನ್ಸ್; ‌ ಸಲ್ಲಗೆಡ್ಡೆ,,,,,,,,,
,asparagus falcaus,ಆಸ್‌ಪ್ಯಾರಗಸ್‌ ಫ್ಯಾಲೆಕೇಟಸ್; ‌ ಮಜ್ಜಿಗೆಗೆಡ್ಡೆ,,,,,,,,,
,asparagus officinalis (asparagus),ಆಸ್‌ಪ್ಯಾರಗಸ್‌ ಅಫಿಸಿನಲಿಸ್‌; ಚಿಗುರನ್ನು ತಿನ್ನುವುದಕ್ಕೆ ಸಸ್ಯವನ್ನು ಅಲಂಕಾರಕ್ಕೆ ಬಳಸುವ ಒಂದು ಗಿಡ,,,,,,,,,
,asparagus racemosus,ಆಸ್‌ಪ್ಯಾರಗಸ್‌ ರ‍್ಯಾಸಿಮೋಸಸ್; ‌ ಶತಾವರಿ/ಶತಮೂಲಿ/ಹಲವು ಮಕ್ಕಳ ಬಳ್ಳಿ,,,,,,,,,
,aspartic acid,ಅಸ್ಪಾರ್ಟಿಕ್‌ ಆಮ್ಲ; ಎಳೆಯ ಕಬ್ಬಿನಲ್ಲಿ ದೊರಕುವ ಒಂದು ರಾಸಾಯನಿಕಪದಾರ್ಥ,,,,,,,,,
,aspect,ಇಳಿಜಾರುಮುಖ,,,,,,,,,
,aspection,ಹವಾಮಾನಕ್ಕೆ ತಕ್ಕ ಸಸ್ಯ ಪರಿವರ್ತನೆ,,,,,,,,,
,asperfoliate,ಒರಟು ಎಲೆಯುಳ್ಳ,,,,,,,,,
,Aspergillus niger,ಅಸ್ಪರ್ಜಿಲಸ್‌ ನೈಜರ್; ‌ ಕರಿಯ ಬೂಸ್ಟು,,,,,,,,,
,aspermous,ಕಡಮೆಬೀಜಾಣುವುಳ್ಳ,,,,,,,,,
,asphyxiation,1. ಉಸಿರು ಕಟ್ಟುವಿಕೆ 2. ಆಮ್ಲಜನಕದ ಕೊರತೆಯಿಂದಾಗುವ ಸಸ್ಯಸರ್ವಾಂಗಸ್ಥಿತಿ,,,,,,,,,
,aspirator,1. ವಾಯುಚೋಷಕ; ಒಂದು ಕೊಳವೆಯ ಮೂಲಕ ವಾಯುವನ್ನು ಒಳಕ್ಕೆ ಸೇದಿಕೊಳ್ಳುವ ಸಲಕರಣೆ 2. ಪೂತಿಚೋಷಕ; ಕುರುವಿನೊಳಗಿನ ಕೀವನ್ನು ಗಾಳಿ ತೆಗೆದಿರುವ ಕೊಳವೆಯ ಮೂಲಕ ಹೊರಸೆಳೆಯುವ ಸಲಕರಣೆ,,,,,,,,,
,Asplenium nidus (bird's nest fern),ಅಸ್ಪ್ಲೀನಿಯಮ್‌ ನೈಡಸ್; ‌ ಒಂದು ಜರೀಗಿಡ,,,,,,,,,
,Asplenium trichomanes,ಅಸ್ಪ್ಲೀನಿಯಮ್‌ ಟ್ರಿಕಾಮನೀಜ್; ‌ ನವಿಲುಕುಚ್ಚಿನ ಗಿಡ,,,,,,,,,
,assimilation,1. ಜೀರ್ಣವಾಗುವಿಕೆ 2. ಜೀರ್ಣಿಸಿಕೊಳ್ಳುವಿಕೆ,,,,,,,,,
,assimilatory roots,ಜೀರ್ಣಾಂಗಬೇರುಗಳು,,,,,,,,,
,associate trees,ಸಹವೃಕ್ಷಗಳು,,,,,,,,,
,association,1. (ಪರಿಸರ) ಸಂಬಂಧಿ ಸಸ್ಯಸಮೂಹ; ಒಂದೇ ಸಮನಾದ ಪರಿಸ್ಥಿತಿಗಳಲ್ಲಿರುವ ಮತ್ತು ಒಂದೇ ಸಮನಾದ ಹಾಗೂ ವಿಶಿಷ್ಟ ಲಕ್ಷಣವುಳ್ಳ ಒಂದು ಯಾ ಹಲವು ಜಾತಿಯ ಸಸ್ಯಗಳ ಗುಂಪು 2. ಪ್ರಧಾನ ಸಸ್ಯಜಾತಿ ಸಂಯೋಜನೆಯನ್ನು ಗುರುತಿಸುವುದು 3. ಭೂದೃಶ್ಯನಿಮಿತ್ತ ಮಣ್ಣಿನ ವರ್ಗೀಕರಣ,,,,,,,,,
,assortment,ವಿಂಗಡಣೆ,,,,,,,,,
,assurgent,ಊರ್ಧ್ವಗಾಮಿ; (ಸಸ್ಯಕಾಂಡ) ಮೇಲಕ್ಕೆ ಬೆಳೆಯುವ,,,,,,,,,
,Asteracantha longifolia,ಆಸ್ಪರಕ್ಯಾಂತ ಲಾಂಜಿಫೋಲಿಯ; ಕೊಳವಳಿಕೆ/ನೀರ‍್ಮುಳ್ಳಿ ಗಿಡ,,,,,,,,,
,Aster amellus (Michaelmas daisy),ಅಸ್ಟರ್‌ ಅಮಲಸ್‌; ಮೈಕಲ್‌ಮಸ್‌ ಡೈಸಿ; ಒಂದು ಹೂಗಿಡ,,,,,,,,,
,Aster chinensis (aster; China aster),ಅಸ್ಟರ್‌ ಚೈನೆನ್ಸಿಸ್; ‌ ಆಸ್ಟರ್; ‌ ಒಂದು ಹೂಸಸ್ಯ,,,,,,,,,
,Asteriastigma macrocarpa,ಆಸ್ಟಿರಿಯಸ್ಟಿಗ್ಮ ಮ್ಯಾಕ್ರಕಾರ್ಪ; ದೊಡ್ಡಸುರುಟಿಮರ,,,,,,,,,
,astichous,ಸಾಲುರಹಿತ,,,,,,,,,
,astomatal,ಪತ್ರರಂಧ್ರರಹಿತ,,,,,,,,,
,astringent,ಅಂಗಾಂಶಸಂಕೋಚಕ (ಔಷಧ),,,,,,,,,
,asymmetric,ಅಸಮರೂಪದ,,,,,,,,,
,Asystasia gangetica,ಏಸಿಸ್ಟೇಸಿಯ ಗ್ಯಾಂಜೆಟಿಕ; ಮೆದ್ದೆಸೊಪ್ಪು,,,,,,,,,
,Atalantia monophylla (wild lime),ಅಟಲಾಂಟಿಯ ಮೊನೊಫಿಲ; ಕಾಡಿನಿಂಬೆ (ಗಿಡ),,,,,,,,,
,Atalantia racemosa,ಅಟಲಾಂಟಿಯ ರ‍್ಯಾಸಿಮೋಸ; ಹುಚ್ಚುನಿಂಬೆ ಮರ,,,,,,,,,
,atavism,ಪೂರ್ವಪಿತೃಲಕ್ಷಣಮರುಕಳಿಕೆ,,,,,,,,,
,atis root,Aconitum heterophyllum,,,,,,,,,
,atmometer,ಆವಿಮಾಪಕ,,,,,,,,,
,atmosphere,ವಾತಾವರಣ,,,,,,,,,
,atmospheric nitrogen,ವಾತಾವರಣಸಾರಜನಕ,,,,,,,,,
,atom,ಪರಮಾಣು,,,,,,,,,
,atomic weight,ಪರಮಾಣುತೂಕ,,,,,,,,,
,atomizer,ಪರಮಾಣುಕಾರಕ,,,,,,,,,
,Atriplex hortensis (orach),ಆಟ್ರಿಪ್ಲೆಕ್ಸ್ ಹಾರ್ಟಿನ್ಸಿಸ್; ‌ ಚಕೋತಸೊಪ್ಪು,,,,,,,,,
,Atropa belladonna (deadly nightshade),ಅಟ್ರೋಪ ಬೆಲಡೋನ; ಸೀಮೆಬೆಲ್ಡೋನಗಿಡ; ಒಂದು ವಿಷನಿರೋಧಕಗಿಡ,,,,,,,,,
,atrophy,1. ಕ್ಷೀಣಿಸು 2. ಕ್ಷೀಣತೆ,,,,,,,,,
,Attalea cohune (cohune palm),ಅಟೇಲಿಯ ಕೊಹ್ಯುನ್‌; ಕಾಯಿಂದ ಎಣ್ಣೆ ತೆಗೆಯಲು ಬಳಸುವ ಒಂದು ಮರ,,,,,,,,,
,attenuate,1. ತೆಳ್ಳಗಾಗಿಸು; ಕೃಶಗೊಳಿಸು 2. ವಿರಳಮಾಡು 3. ಬಲಗುಂದಿಸು 4. ತುದಿಚೂಪಾದ,,,,,,,,,
,attenuated,1. ತೆಳ್ಳಗಾದ; ಕೃಶಗೊಳಿಸಿದ 2. ವಿರಳಗುಂದಿಸಿದ 3. ಬಲಗುಂದಿಸಿದ 4.ತುದಿಚೂಪಾದ,,,,,,,,,
,attrctants,ಆಕರ್ಷಕಗಳು; (ಮುಖ್ಯವಾಗಿ) ಕೀಟಗಳನ್ನು ಸೆಳೆಯುವ ಯಾ ಆಕರ್ಷಿಸುವ ವಸ್ತು,,,,,,,,,
,albicans,ಅಟಿಲೋಸಿಯ ಆಲ್ಬಿಕಾನ್ಸ್; ‌ ಗಿಣ್ಣುನೆಲ್ಲವರೆಗಿಡ,,,,,,,,,
,Atylosia candollei,ಅಟಿಲೋಸಿಯ ಕ್ಯಾಂಡೋಲಿ; ಕಾಡುತೋಗರಿಗಿಡ,,,,,,,,,
,aubergine,Solanum melongena,,,,,,,,,
,auction,ಹರಾಜು; ಲಿಲಾವು; ಏಲಂ,,,,,,,,,
,audiovisual aids,ಶ್ರವಣದೃಶ್ಯ ಸಾಧನಗಳು,,,,,,,,,
,auger,1. ಬೈರಿಗೆ 2. ನೆಲಬೈರಿಗೆ,,,,,,,,,
,auriculate,1. (ಎಲೆಯ ವಿ.ದಲ್ಲಿ) ಕಿವಿಯಂಥ ಅಂಗವುಳ್ಳ 2. ಕಿವಿಹಾಲೆಯ 3.ಕಿವಿಯಾಕಾರದ,,,,,,,,,
,Australian black-wood,Acacia melanoxylon,,,,,,,,,
,Australian blue stem,Bothriochloa intermedia,,,,,,,,,
,Australian pea,"Dolichos lab-lab, var. lignosus",,,,,,,,,
,Australian pine,Araucaria excelsa,,,,,,,,,
,autecology,ಸ್ವಪರಿಸರ ವಿಜ್ಞಾನ,,,,,,,,,
,autoblast,ಆಟೋಬ್ಲಾಸ್ಟ್; ‌ ಒಂದು ಸೂಕ್ಷ್ಮಾಣು ಜೀವಿ ಯಾ ಆಕರ್ಷಿಸುವ ವಸ್ತು,,,,,,,,,
,autocarp,ಆಟೋಕಾರ್ಪ್; ‌ ಸ್ವಯಂಫಲಿತಫಲ,,,,,,,,,
,autoclave,ಆಟೋಕ್ಲೇವ್; ‌ ಹಬೆಒತ್ತಡಪಾತ್ರೆ,,,,,,,,,
,autoconduction,ಸ್ವಯಂವಹನ,,,,,,,,,
,autogamous,ಸ್ವಪರಾಗಗರ್ಭಾಂಕುರವುಳ್ಳ,,,,,,,,,
,autogamy,ಸ್ವಪರಾಗಗರ್ಭಾಂಕುರ,,,,,,,,,
,autogenous,ಸ್ವಯಂಜನಿತ,,,,,,,,,
,automatic injector,ಸ್ವಯಂಚಾಲಿತಚುಚ್ಚುಮದ್ದು,,,,,,,,,
,automatic planter,ಸ್ವಯಂಚಾಲಿತ ನಾಟಿಯಂತ್ರ,,,,,,,,,
,automorphism,ಆಟೋಮಾರ್ಫಿಜಮ್; ‌ 1. ಸ್ವಗುಣಾರೋಪಣೆ 2. ಸ್ವಾಕಾರತೆ; ಯಾವುದೇ ಖನಿಜ ತನ್ನದೇ ಆದ ಸ್ಫಟಿಕ ರೂಪವನ್ನು ಉಳಿಸಿಕೊಂಡಿರುವಿಕೆ,,,,,,,,,
,autonecrosis,ಆಟೋನೆಕ್ರೋಸಿಸ್; ‌ 1. ಸ್ವಯಂಧೂತಕುತ್ತಿಗೆ ರೋಗ 2. ಅಂಗಾಂಶ ಕ್ಷಯ,,,,,,,,,
,autoparasite,ಆಟೋಪ್ಯಾರಸೈಟ್; ‌ ಪರೋಪಜೀವಿ; ಒಂದು ಪರಾವಲಂಬಿಯ ಮೇಲೆ ಜೀವಿಸುವ ಮತ್ತೊಂದು ಪರಾವಲಂಬಿ,,,,,,,,,
,autophyte,ಆಟೋಫೈಟ್; ‌ ಸ್ವಪೋಷಕ; ಜಡಪದಾರ್ಥಗಳಿಂದ ತನ್ನ ಆಹಾರವನ್ನು ತಯಾರಿಸಿಕೊಳ್ಳುವ ಸಸ್ಯ,,,,,,,,,
,autotoxin,ಸ್ವಯಂಜನಿತ ವಿಷ; ದೇಹದಲ್ಲುಂಟಾಗುವ ವ್ಯತ್ಯಾಸಗಳಿಂದ ಹುಟ್ಟುವ ವಿಷಪದಾರ್ಥ,,,,,,,,,
,autotrophic bacteria,ಸ್ವಯಂಪೋಷಣೆಯ ದಂಡಾಣು,,,,,,,,,
,autotrophic mutant,ಸ್ವಯಂಪೋಷಣೆಯ ಉತ್ಪರಿವರ್ತಕ; ಬಹುತೇಕ ಸಸ್ಯಗಳಂತೆ ಅಜೈವಿಕ ವಸ್ತುಗಳನ್ನು ಮಾತ್ರ ಆಹಾರವಾಗಿ ಬಳಸಿಕೊಳ್ಳುವ ಉತ್ಪರಿವರ್ತಕ,,,,,,,,,
,autumn,ಮಾಗಿ/ಶರತ್‌ ಕಾಲ,,,,,,,,,
,auxanometer,ಆಕ್ಸನಾಮಿಟರ್; ‌ ಸಸ್ಯವರ್ಧನಮಾಪಕ,,,,,,,,,
,auxiliary,ಸಹಾಯಕ,,,,,,,,,
,auximone,ಆಕ್ಸ್‌ಮೋನ್; ‌ ಸಹಾಯಕ ಸಸ್ಯಾಹಾರವರ್ಧಿನಿ; ಸಸ್ಯಗಳಲ್ಲಿ ಅತಿ ಸ್ವಲ್ಪಪ್ರಮಾಣದಲ್ಲಿದ್ದು ಬೆಳೆಯುವಿಕೆಯನ್ನು ಹೆಚ್ಚಿಸುವ ಪದಾರ್ಥ,,,,,,,,,
,auxin,ಆಕ್ಸಿನ್; ‌ ಸಸ್ಯದ ಬೆಳವಣಿಗೆಯನ್ನು ಉತ್ತೇಜಿಸುವ ವಸ್ತು; (ಸಸ್ಯ) ವರ್ಧಕ ಹಾರ್ಮೋನು,,,,,,,,,
,auxoautotrophic,ಬಾಹ್ಯಬೆಳವಣಿಗೆಯ ಅಂಶಗಳು ಅಗತ್ಯವಿಲ್ಲದಿರುವ,,,,,,,,,
,auxocyte,ಅಕ್ಸಸೈಟ್; ‌ ಒಂದು ಲಿಂಗಾಣು ಉತ್ಪಾದಕ ಕೋಶ,,,,,,,,,
,auxoheterotrophic,ಬಾಹ್ಯಚೋದಕಾಪೇಕ್ಷಿ; ಬಾಹ್ಯಬೆಳವಣಿಗೆಯ ಅಂಶಗಳು ಅಗತ್ಯವಿರುವ,,,,,,,,,
,auxotonic,ಆಕ್ಸಟಾನಿಕ್; ‌ ಸ್ವಯಂಚೋದನಶಕ್ತಿವರ್ಧಿನಿ,,,,,,,,,
,avalanche,ಉರುಳುನೀರ್ಗಲ್ಲು; ಹಿಮಪ್ರಪಾತ,,,,,,,,,
,avaram,Cassia auriculata,,,,,,,,,
,Avena byzantina (Indian oats),"ಅವೆನ ಬಿಜ್ಯಾಂಟಿನ; ಓಟ್ಸ್‌ (ಸಸ್ಯ, ಧಾನ್ಯ); ತೋಕೆಗೋದಿ",,,,,,,,,
,Avena sativa (English oats),"ಅವೆನ ಸಟೈವ; ಸೀಮೆಓಟ್ಸ್ (ಸಸ್ಯ, ಧಾನ್ಯ); ಸೀಮೆತೋಕೆಗೋದಿ",,,,,,,,,
,avenue,ಸಾಲುಮರ; ನೆರಳು ಮತ್ತು ಹಣ್ಣುಗಳಿಗಾಗಿ ರಸ್ತೆ ಬದಿಯಲ್ಲಿ ಬೆಳೆಸುವ ಮರ,,,,,,,,,
,Averrhoa acida,Phyllanthus cicca,,,,,,,,,
,"Averrhoa bilimbi (bilimbi, cucumber tree)",ಅವರೋವ ಬಿಲಿಂಬಿ; ಬಿಳಿಂಬಿಮರ,,,,,,,,,
,Averrhoa carambola (camara fruit; Chinese gooseberry),ಅವರೋವ ಕ್ಯಾರಂಬೋಲ; ಕಮರಾಕ್ಷಿಹಣ್ಣಿನ ಮರ,,,,,,,,,
,Avicennia officinalis (white mangrove),ಅವಿಸೆನಿಯ ಅಫಿಸಿನಲಿಸ್; ‌ ವೈಟ್‌ ಮ್ಯಾಂಗ್ರೋವ್; ‌ ಉಪ್ಪಾತಿಮರ,,,,,,,,,
,Avicennia violacea,ಅವಿಸೆನಿಯ ವಯಲೇಸಿಯ; ಗುಲಾಬಿ ಕಂದುಬಣ್ಣದ ಹೂವಿನ ಒಂದು ಅಲಂಕಾರ ಹಬ್ಬು ಪೊದೆ,,,,,,,,,
,avirulant strain,ರೋಗಜನಕಶಕ್ತಿರಹಿತ ತಳಿ,,,,,,,,,
,avocado,Persea americana,,,,,,,,,
,awl-shaped,ದಬ್ಬಳದಾಕಾರದ,,,,,,,,,
,awn,(ಗೋಧಿ ಮೊದಲಾದ ಧಾನ್ಯಗಳ) ಸುಂಕ/ಊಬು,,,,,,,,,
,axil,1. ಕಂಕುಳ; ಎಲೆತೊಟ್ಟು ಮತ್ತು ಕಾಂಡದ ನಡುವಣ ಭಾಗ 2. ಪರ್ವಕೋನ; ಎಲೆತೊಟ್ಟಿನ ಮತ್ತು ಕಾಂಡದ ನಡುವಣ ಭಾಗ,,,,,,,,,
,axile placentation,ಆಕ್ಸೈಲ್‌ ಪ್ಲ್ಯಾಸೆಂಟೇಷನ್; ‌ ಅಂಡಕೋಶದ ಮಧ್ಯದಲ್ಲಿನ ಅಂಡವಿನ್ಯಾಸ,,,,,,,,,
,axile wood,Anogeissus latifolia,,,,,,,,,
,axillary bud,ಕಂಕುಳುಮೊಗ್ಗು,,,,,,,,,
,axis,1. ಅಕ್ಷ 2. ಪುಷ್ಪಗುಚ್ಛ ಅಕ್ಷಸ್ತಂಭ,,,,,,,,,
,axogamy,ಅಕ್ಸಾಗಮಿ; ಎಲೆಕಾಂಡಲಿಂಗಸ್ಥಿತಿ; ಎಲೆಯ ಕಾಂಡದ ಮೇಲೆ ಲೈಂಗಿಕ ಅಂಗಗಳಿರುವ ಸ್ಥಿತಿ,,,,,,,,,
,ayacut,ಆಯಕಟ್ಟು; ಅಚ್ಚುಕಟ್ಟು; ಕೆರೆ ಕಾಲುವೆ ಮೊದಲಾದವುಗಳ ಆಸರೆಯಲ್ಲಿರುವ ಜಮೀನು ಪ್ರದೇಶ,,,,,,,,,
,Azadirachta indica,Melia azadirachta,,,,,,,,,
