ಕನ್ನಡ ಪದ (Kannada Word),ಇಂಗ್ಲೀಷ್ ಪದ (English Word),ಕನ್ನಡ ಅರ್ಥ (Kannada Meaning),ಪರ್ಯಾಯ ಪದ (Synonyms),ವಿಷಯ ವರ್ಗೀಕರಣ (Subject),ವ್ಯಾಕರಣ ವಿಶೇಷ (Grammer),ಇಲಾಖೆ (Department),ಕನ್ನಡ ಉಚ್ಚಾರಣೆ (Kannada Pronunciation),ಇಂಗ್ಲೀಷ್ ಅರ್ಥ (English Meaning),ಸಂಕ್ಷಿಪ್ತ ವಿವರಣೆ (Short Description),ದೀರ್ಘ ವಿವರಣೆ (Long Description),ಆಡಳಿತಾತ್ಮಕ ಪದ (Administrative Word)
,Conservatory,ಅಸಾಮಾನ್ಯ ಸಸ್ಯ ಸಂರಕ್ಷಿತ ಹಸುರು ಮನೆ,,,,,,,,,
,Conservatory (Fernery garden),"ಗೃಹಕ್ಕೆ ಅಂಟಿದಂತಿರುವ ತೋಟ, ಗೃಹ ಸಾಮೀಪ್ಯ ತೋಟ",,,,,,,,,
,Constriction,ಸಂಕುಚಿತ ಭಾಗ,,,,,,,,,
,Consumer,ಗ್ರಾಹಕ,,,,,,,,,
,Contact insecticide,ಸಂಪರ್ಕ ಕೀಟನಾಶಕ,,,,,,,,,
,Contact poison,"ಸ್ಪರ್ಶವಿಷ, ಸಂಪರ್ಕವಿಷ",,,,,,,,,
,Container stock,ಮಡಕೆಯಲ್ಲಿನ ಬೇರುಸಸಿ,,,,,,,,,
,Contour planting,ಸಮಪಾತಳಿ ವಿಧಾನದಲ್ಲಿ ಗಿಡಗಳನ್ನು ನೆಡುವುದು,,,,,,,,,
,Contractile root,ಸಂಕೋಚನ ಬೇರು,,,,,,,,,
,Controlled atmosphere storage,ನಿಯಂತ್ರಿತ ವಾತಾವರಣದಲ್ಲಿ ಸಂಗ್ರಹಿಸುವುದು,,,,,,,,,
,Convolute,"ಸಂವಲಿತ, ಸುರುಳಿಗಟ್ಟಿದ, ಸುರುಳಿ ಸುತ್ತಿರುವ",,,,,,,,,
,Cool season vegetables,ಚಳಿಗಾಲದ / ಶೀತಕಾಲದ ತರಕಾರಿಗಳು,,,,,,,,,
,Coolhouse species,ಶೈತ್ಯಹವೆ ಬಯಸುವ ಪ್ರಭೇದಗಳು,,,,,,,,,
,Co-operative market,ಸಹಕಾರಿ ಮಾರುಕಟ್ಟೆ,,,,,,,,,
,Coorg honey dew,ಕೊಡಗು ಹನಿ ಡ್ಯೂ ಪಪಾಯ ತಳಿ,,,,,,,,,
,Copal,ಕಠಿಣ ಹಾಗೂ ಉನ್ನತ ಕರಗು ಬಿಂದುವುಳ್ಳ ರಾಳ ಗುಂಪು,,,,,,,,,
,Coral plant,ಹವಳದ ಮರ,,,,,,,,,
,Coral wood,"ಆನೆಗುಲಗಂಜಿ, ಮಂಜತಿ, ದೊಡ್ಡ ಗುಲಗಂಜಿ, ವಂಜಿಟ್ಟೆ",,,,,,,,,
,Coral wood tree,ರಕ್ತ ಚಂದನವೃಕ್ಷ (ನೆರಳು ಕೊಡುವ ಅಲಂಕಾರಿಕ ವೃಕ್ಷ),,,,,,,,,
,Cordate,ಹೃದಯಾಕಾರ,,,,,,,,,
,Cordon or bush trained,ಕಾರ್ಡನ್ ಇಲ್ಲವೇ ಪೊದೆ / ತಡಿಕೆ ಆಕಾರದಲ್ಲಿ ಬೆಳೆಸುವಿಕೆ,,,,,,,,,
,Cordon or expaliers,ಕಾರ್ಡನ್ ಇಲ್ಲವೇ ಸುತ್ತುರೆಂಬೆಗಳನ್ನು ಸವರಿ ನಿರ್ಧಿಷ್ಟ ಆಕಾರ ನೀಡುವಿಕೆ,,,,,,,,,
,Core,"ದಿಂಡು, ತಿರುಳು",,,,,,,,,
,Core intact method,ಹೊರ ಎಲೆಗಳನ್ನು ತೆಗೆದು ಮಧ್ಯದ ಸುಳಿಭಾಗ ತೆರೆದಿಡುವಿಕೆ,,,,,,,,,
,Corerot (vesculor disease),ತಿರುಳುರೋಗ (ನಾಳರೋಗ),,,,,,,,,
,Coriander,"ಕೊತ್ತುಂಬರಿ, ಧನಿಯ, ಹವೀಜ",,,,,,,,,
,Coring,ದಿಂಡು ತೆಗೆಯುವುದು,,,,,,,,,
,Cork combium,"ಕಾರ್ಕ್ ಮರದ ವರ್ಧನಸ್ತರ, ಬೆಂಡಿನಂತಹ ಕೂಡುಪದರ",,,,,,,,,
,Corm,"ಕಂದಗೆಡ್ಡೆ, ಪರಿವರ್ತಿತ ಗೆಡ್ಡೆ ಕಾಂಡ, ಲಶುನ",,,,,,,,,
,Cormel (offset),"ಮಧ್ಯಂತರ ಮರಿಕಂದಗಳು, ಮರಿಲಶುನಗಳು",,,,,,,,,
,Cormlet,ಮರಿಕಂದಗೆಡ್ಡೆ,,,,,,,,,
,Corn ear worms,ಜೋಳದ ತೆನೆ ಹುಳುಗಳು,,,,,,,,,
,Corn flower,ಕಾರ್ನ್ ಹೂ,,,,,,,,,
,"Cornel wood (Bloodtwig, Dog wood)","ಕೆಂಪುಗಡ್ಡಿ, ರಕ್ತಮರ, ದಕ್ಷಿಣ ಆಫ್ರಿಕಾದ ಮರ",,,,,,,,,
,Corolla (Petals of a flower as a group),ಪುಷ್ಪದಳ ಸಮುಚ್ಚಯ / ಪುಂಜ ಸಮೂಹ,,,,,,,,,
,Corolla tube,ಪುಷ್ಪದಳನಾಳ,,,,,,,,,
,Cortex,ಹೊರ ತೊಗಟೆ,,,,,,,,,
,Cortical cell,ವಲ್ಕ / ತೊಗಟೆ ಕೋಶ,,,,,,,,,
,Corymb,ಪುಷ್ಪ ವಿನ್ಯಾಸದ ಒಂದು ಬಗೆ,,,,,,,,,
,Cosmos,"ದೀರ್ಘ ಕತ್ತಲಪೇಕ್ಷಿ, ಕಾಸ್ ಮಾಸ್ ಪುಷ್ಪಿ ಸಸ್ಯ",,,,,,,,,
,Cotton rose,ಬೆಟ್ಟದ ತಾವರೆ,,,,,,,,,
,Cotyledons,"ಬೀಜದಳಗಳು, ಬೇಳೆಗಳು",,,,,,,,,
,Couch grass (Creeping grass),ಗರಿಗೆ ಹುಲ್ಲು,,,,,,,,,
,Count,"ಎಣಿಕೆ, ಹಣ್ಣುಗಳ ದರ್ಜೆವಾರು, ವಿಂಗಡಣೆಯಲ್ಲಿ ಒಂದು ಮಾಪನ",,,,,,,,,
,Country almond,"ನಾಡು ಬಾದಾಮಿ, ದೇಶೀ ಬಾದಾಮಿ",,,,,,,,,
,Country mallow,"ತುರುಬೀಗಿಡ, ಶ್ರೀಮುದ್ರೆಗಿಡ, ಹೆತ್ತುತ್ತಿ",,,,,,,,,
,Country potato,"ನಾಡ ಆಲೂಗೆಡ್ಡೆ, ದೇಶೀ ಆಲೂಗೆಡ್ಡೆ",,,,,,,,,
,Cover crop,"ಹೊದಿಕೆ ಬೆಳೆ, ಮುಚ್ಚುಬೆಳೆ",,,,,,,,,
,Covering,ಹೊದಿಕೆ ಕೊಡುವುದು,,,,,,,,,
,Cowpea,ಅಲಸಂದಿ,,,,,,,,,
,Cowslip,ಹಳದಿ ಹೂ ಬಿಡುವ ಗಿಡ,,,,,,,,,
,Crab apple,ಕಾಡುಸೇಬು,,,,,,,,,
,Crab apple rootstock,ಕಾಡುಸೇಬಿನ ಬೇರುಸಸಿ,,,,,,,,,
,Crab's eye (wild liquorice),"ಗುಲಗಂಜಿ, ಗುಂಜೀಬೀಜ, ಮಧುಕವಲ್ಲಿ, ಹಾಗ",,,,,,,,,
,Crambe seed,ಕ್ರ್ಯಾಂಬೆ ಬೀಜ,,,,,,,,,
,Crate,ಹೆಡಿಗೆ,,,,,,,,,
,Creat,"ನೆಲಬೇವು, ಕಾಲಮೇಘ",,,,,,,,,
,Creeper,ತೆವಳುಬಳ್ಳಿ,,,,,,,,,
,"Creeping grass, Bermuda grass","ಕಾಡು ಗರಿಕೆ, ಗರಿಕೆ, ಬರ್ಮುಡಾ ಹುಲ್ಲು",,,,,,,,,
,Cresent shape,ಅರ್ಧಚಂದ್ರಾಕಾರ,,,,,,,,,
,Cricketball,ಸಪೋಟಹಣ್ಣಿನ ಕ್ರಿಕೆಟ್ ಬಾಲ್ ತಳಿ,,,,,,,,,
,Crinkle,ಸುಕ್ಕುಗಟ್ಟು,,,,,,,,,
,Crinum,ಕ್ರೈನಮ್ ಹೂ,,,,,,,,,
,Crisp,ಗರಿಗರಿಯಾದ,,,,,,,,,
,Crocks,ಮಡಿಕೆಚೂರು,,,,,,,,,
,Crocus,ಲಿಲಿ ಜಾತಿಯ ಹೂಗಿಡ,,,,,,,,,
,Crop forcing,ಆಕಾಲದಲ್ಲಿ ನಿರ್ಬಂಧವಾಗಿ ಬೆಳೆ ತೆಗೆಯುವುದು,,,,,,,,,
,Crop regulation,"ಫಸಲನ್ನು ಕ್ರಮಪಡಿಸುವುದು, ಬೆಳೆಯನ್ನು ಕ್ರಮಪಡಿಸುದುವು",,,,,,,,,
,Cross,"ಸಂಕರ, ಅಡ್ಡ, ಮಿಶ್ರ, ಸಂಕರಣ",,,,,,,,,
,Cross fertile,ಅನ್ಯ - ಫಲಪ್ರದ,,,,,,,,,
,Cross pollination,ಅನ್ಯಪರಾಗ / ಪರಕೀಯ ಪರಾಗಸ್ಪರ್ಶ,,,,,,,,,
,Cross transfer of nutrients,ಪೋಷಕಾಂಶಗಳ ವರ್ಗಾವಣೆ,,,,,,,,,
,Crossandra,ಕನಕಾಂಬರ,,,,,,,,,
,Crossing over,ವಂಶವಾಹೀ ವಿನಿಮಯ,,,,,,,,,
,Crotch formation,"ಕವಲುಂಟಾಗುವಿಕೆ, ಮೂಲೆ ಏರ್ಪಡುವಿಕೆ",,,,,,,,,
,Crotch injury (due to cold),ಸೀಳುಗಾಯ / ಬಿರುಗಾಯದಿಂದಾಗುವ ಊತಕ ಕ್ಷಯ (ಕವಲು ಕೊಂಬೆಗಳಲ್ಲಿ ಸೀಳುಗಾಯದಿಂದಾಗುವ ಕ್ಷಯ),,,,,,,,,
,Croton,ಕ್ರೊ ಟಾನ್ ಗಿಡ,,,,,,,,,
,Croton oil,"ಜಾಪಾಳಬೀಜ, ನೆರ್ವಾಲ",,,,,,,,,
,Crow bar,"ಹಾರೆ, ಗಡಾರಿ",,,,,,,,,
,Crown,"ಕಲಶ, ಮಂಡಿ, ಶಿಖರ, ಮುಕುಟ ಭಾಗ",,,,,,,,,
,Crown bud,"ಮುಕುಟ ಮೊಗ್ಗು, ತುದಿ ಮೊಗ್ಗು",,,,,,,,,
,Crown gall,"ಮುಕುಟಗಂಟು, ತುದಿಭಾಗದಲ್ಲಿನ ಗಂಟು",,,,,,,,,
,Crown graft,"ಮುಕುಟ / ಮುಡಿ ಕಸಿ, ಸುಳಿಭಾಗದಲ್ಲಿ ಕಸಿಮಾಡುವುದು",,,,,,,,,
,Crown injury,ಎಳೆಯ ಮರಗಳ ತೊಗಟೆ ಕ್ಷಯಿಸಿ ಸೀಳುವಿಕೆ (ಶೀತದಿಂದ),,,,,,,,,
,Crozy paving,"ಚೂರುಗಲ್ಲು, ಹಾಸುಮಾರ್ಗ",,,,,,,,,
,Cruciferous,"ಸಾಸಿವೆ ಜಾತಿಯ, ಕೋಸು ಜಾತಿಗೆ ಸೇರಿದ",,,,,,,,,
,Crude fibre,ಕಚ್ಚಾನಾರು,,,,,,,,,
,Crystallized fruit,ಹರಳುಗೊಳಿಸಿದ ಹಣ್ಣು (ಸಂಸ್ಕರಣೆ),,,,,,,,,
,Cucumber,"ಸೌತೆ, ಸೌತೆಕಾಯಿ",,,,,,,,,
,Cucumber mosaic virus,"ಸೌತೆ ಮಚ್ಚೆರೋಗ, ಸೌತೆಯ ಬಳ್ಳಿಗಳ ವರ್ಣ ವಿನ್ಯಾಸರೋಗ, ಸೌತೆ ಮಚ್ಚೆ ವೈರಸ್ ರೋಗ",,,,,,,,,
,Cucumber tree,ಬಿಲಿಂಬಿ ಮರ,,,,,,,,,
,Culinary,"ಪಾಕಯೋಗ್ಯ, ಅಡುಗೆಗೆ ಸೂಕ್ತವಿರುವ",,,,,,,,,
,Cultivar,"ಸಾಗುವಳಿ ತಳಿ, ಬೇಸಾಯದಲ್ಲಿನ ತಳಿ",,,,,,,,,
,Cultivated cucumber,"ಮುಳ್ಳುಸೌತೆಕಾಯಿ, ಬೇಸಾಯದಲ್ಲಿರುವ ಸೌತೆ",,,,,,,,,
,Culture media,ಸಾಕಣೆ ಮಾಧ್ಯಮ,,,,,,,,,
,Culum,"ಗೆಣ್ಣುಕಾಂಡ, ಗೆಣ್ಣುದಂಟು",,,,,,,,,
,Cumin seed,"ಜೀರಿಗೆ, ಜೀರ",,,,,,,,,
,Cuneate,ಬೆಣೆಯಾಕಾರ,,,,,,,,,
,Cupids plant,"ಮದನಮಂಜರಿ ಹೂ, ಮನೋರಂಜನಿ ಹೂ, ಕಂದಾಳ ಸಂಪಿಗೆ",,,,,,,,,
,Cupress vine,ಕಾಮಲತೆ,,,,,,,,,
,Curd,"ಹೂ ತೆನೆ, ಹೂಕೋಸಿನ ತಿನ್ನುವ ಭಾಗ",,,,,,,,,
,Curd fruit,ಬೇಲ,,,,,,,,,
,Curing,"ಸಂಸ್ಕರಣೆ, ಮಾಗಿಸುವುದು",,,,,,,,,
,Curly tip,"ತುದಿ ಮುರಂಟು (ಸುರಂಟು) ರೋಗ, ಗುಂಗುರು ತುದಿ",,,,,,,,,
,Curly top,"ಮುರಂಟು ತುದಿ, ತುದಿ ಮುರಂಟು ರೋಗ",,,,,,,,,
,Curry leaf,"ಕರಿಬೇವು, ಗಂಧಬೇವು, ಸಂಬಾರಬೇವು",,,,,,,,,
,Custard apple (Sweet sop),"ಸೀತಾಫಲ, ಅಮೃತಫಲ",,,,,,,,,
,Cut corm,"ಕತ್ತರಿಸಿದ ಲಶುನ, ತಾಯಿಯಿಂದ ಕತ್ತರಿಸಿ ತೆಗೆದ ಮರಿಲಶುನ",,,,,,,,,
,Cut flower,"ಕತ್ತರಿಸಿದ ಹೂಗಳು, ಕೊಯ್ಲುಮಾಡಿದ ಹೂವು",,,,,,,,,
,Cut worm,ಕತ್ತರಿಹುಳು,,,,,,,,,
,Cuticle,"ಉಪ / ಹೊರ ಚರ್ಮ, ಮೇಲ್ಪದರ",,,,,,,,,
,Cutin,ಎಲೆಗಳ ಮೇಲ್ಮೈಯಲ್ಲಿರುವ ಮೇಣದಂಥ ಪದಾರ್ಥ,,,,,,,,,
,Cutovers,ತುಂಡುಗಳು,,,,,,,,,
,Cuttage,ತುಂಡುಗಳ ಮೂಲಕ ಸಸ್ಯಾಭಿವೃದ್ಧಿ,,,,,,,,,
,Cutting test,ಬೀಜ ಛೇದನ ಪರೀಕ್ಷೆ,,,,,,,,,
,Cuttings,ತುಂಡುಗಳು,,,,,,,,,
,Cyclic growth pattern,ವೃತ್ತೀಯ (ಚಕ್ರೀಯ) ಬೆಳೆವಣಿಗೆ ಮಾದರಿ,,,,,,,,,
,Cyme,ಮಧ್ಯಾರಂಭಿ ಮಂಜರಿ (ಹೂ ಗೊಂಚಲು),,,,,,,,,
,Cymose inflorescence,ಅಂತ್ಯಾರಂಭಿ ಹೂ ಗೊಂಚಲು,,,,,,,,,
,Cypress,"ಸೈಪ್ರಸ್ ಮರ, ಗಿಡ",,,,,,,,,
,Cytogenetics,ಕೋಶ ತಳಿಶಾಸ್ತ್ರ,,,,,,,,,
,Cytology,ಕೋಶಶಾಸ್ತ್ರ,,,,,,,,,
,Cytoplasm,ಕೋಶದ್ರವ್ಯ,,,,,,,,,
,Daffodil,"ಡ್ಯಾಫೊಡಿಲ್ ಹೂವು, ಒಂದು ಜಾತಿಯ ತಿಳಿಹಳದಿ ನೆಲನೈದಿಲೆ",,,,,,,,,
,Dahlia,"ಡೇಲಿಯ, ಡೇರೆಹೂವು",,,,,,,,,
,Dai Dai maru,ಕಾಡು ಪರ್ಸಿಮ್ಯಾನ್,,,,,,,,,
,Damask rose,"ಸುಗಂಧ ತೈಲ ತೆಗೆಯುವ ಗುಲಾಬಿ, ಸುಗಂಧಿತ ಗುಲಾಬಿ",,,,,,,,,
,Damping off,ಶೀತ ರೋಗ,,,,,,,,,
,Dandelion,"ಕಾಡುಶಾವಂತಿ, ಡಾಂಡಿಲಿಯನ್ ಹೂ",,,,,,,,,
,Darjeeling red round,ಆಲೂಗೆಡ್ಡೆಯ ಒಂದು ತಳಿ,,,,,,,,,
,Date,ಖರ್ಜೂರ,,,,,,,,,
,Date palm,ಖರ್ಜೂರದ ಮರ,,,,,,,,,
,Datura,ಉಮ್ಮತ್ತಿ,,,,,,,,,
,Daughter corm,ಮರಿಗೆಡ್ಡೆ,,,,,,,,,
,Day neutral,"ದಿನದ ಅವಧಿಗೆ ಪುಷ್ಪ ಅಂಗಿಕವಾಗಿ ತಟಸ್ಥವಾಗಿರುವಿಕೆ, ಹಗಲು ತಟಸ್ಥ ಹೂ",,,,,,,,,
,Day queen,ಹಗಲು ರಾಣಿ ಹೂ,,,,,,,,,
,Dead arm,"ರೆಂಬೆ ಒಣಗಿ ಸಾಯುವ, ಶಿಲೀಂಧ್ರರೋಗ (ದ್ರಾಕ್ಷಿ)",,,,,,,,,
,Dead wood,"ಮೃತದಾರು, ಸತ್ತ ಕಟ್ಟಿಗೆ ಭಾಗ",,,,,,,,,
,Deblossoming,ಹೆಚ್ಚಿನ ಹೂಗಳನ್ನು ಕಿತ್ತು ತೆಗೆಯುವಿಕೆ,,,,,,,,,
,Decant,ತಿಳಿಬಸಿಯುವಿಕೆ,,,,,,,,,
,Decavalent,ದಶಸಂಯೋಗಶಕ್ತ,,,,,,,,,
,Deccan hemp,ಪುಂಡಿ,,,,,,,,,
,Deciduous,ಎಲೆಯುದುರಿಸುವ,,,,,,,,,
,Deciduous fruit tree,ಎಲೆಯುದುರಿಸುವ ಹಣ್ಣಿನ ಮರ,,,,,,,,,
,Decorative,ಆಲಂಕಾರಿಕ,,,,,,,,,
,Deffective pollen,ದೋಷಯುಕ್ತ / ನ್ಯೂನತೆಯಿಂದ ಕೂಡಿದ ಪರಾಗ,,,,,,,,,
,Deficient level,"ಕೊರತೆ ಮಟ್ಟ, ನ್ಯೂನತೆ ಮಟ್ಟ",,,,,,,,,
,Deflower,ಹೂಗಳನ್ನು ಕಿತ್ತು ಹಾಕು,,,,,,,,,
,Defoliant,ಎಲೆ ಉದುರಿಸುವ ಪದಾರ್ಥ,,,,,,,,,
,Defoliate,ಎಲೆಗಳನ್ನು ಕಿತ್ತುಹಾಕು,,,,,,,,,
,Defoliated cutting,"ಎಲೆ ತೆಗೆದ ಕಾಂಡದ ತುಂಡು, ಎಲೆ ರಹಿತ ತುಂಡು",,,,,,,,,
,Defoliation,ಎಲೆ ತೆಗೆಯುವಿಕೆ,,,,,,,,,
,Degreening,ಹಸುರು ಬಣ್ಣ ಹೋಗುವಂತೆ ಮಾಡುವುದು,,,,,,,,,
,Degumming,ಅಂಟು ನಿರ್ಮೂಲನಮಾಡುವಿಕೆ,,,,,,,,,
,Dehiscent,ಬಿರಿಯುವುದು,,,,,,,,,
,Dehorning,ರೆಂಬೆಗಳನ್ನು ಕತ್ತರಿಸಿಹಾಕುವಿಕೆ,,,,,,,,,
,Dehydrated fruit,ಒಣಗಿಸಿದ / ನಿರ್ಜಲೀಕೃತ ಹಣ್ಣು,,,,,,,,,
,Dehydrating room,ನಿರ್ಜಲೀಕರಣ ಕೊಠಡಿ,,,,,,,,,
,Dehydration,"ನಿರ್ಜಲೀಕರಣ, ಒಣಗಿಸುವಿಕೆ",,,,,,,,,
,Delayed open centre,"ಮಂದಗತಿಯ ತೆರೆದ ನೆತ್ತಿ, (ವೃಕ್ಷ ಆಕಾರ) ವಿಲಂಬಿತ ತೆರೆದ ನೆತ್ತಿ",,,,,,,,,
,Delphinidin (pigment),ಡೆಲ್ಫಿನಿಡಿನ್ ವರ್ಣದ್ರವ್ಯ,,,,,,,,,
,Demon's comb,"ಹೆತ್ತುತ್ತಿ, ಶ್ರೀಮುದ್ರೆಗಿಡ, ನೆಲದುರುವೆ, ತುರುಬೇ ಗಿಡ, ದೇವದಾರುಮರ (ಸಾಲುಮರ, ಮಾರ್ಗವೃಕ್ಷ)",,,,,,,,,
,Dentate,ಹಲ್ಲುಗಳಂಥ ಕಚ್ಚುಗಳುಳ್ಳ,,,,,,,,,
,Deodar,"ದೇವದಾರುಮರ (ಸಾಲುಮರ, ಮಾರ್ಗವೃಕ್ಷ)",,,,,,,,,
,Depredation,"ನಾಶಪಡಿಸುವಿಕೆ, ಕ್ಷಯಿಸುವಂತೆ ಮಾಡುವುದು",,,,,,,,,
,Depth of planting,"ನಾಟಿಯ ಆಳ, ನೆಡುವ ಆಳ",,,,,,,,,
,Deshawaram (ottavettu),ಅಡ್ಡಗಲ ಎರಡಾಗಿ ಸೀಳಿ ಬೇಯಿಸಿ ಒಣಗಿಸಿದ ಹಸುರಡಕೆ,,,,,,,,,
,Deshooting,"ಅನಪೇಕ್ಷಿತ ಕಾಂಡಭಾಗಗಳನ್ನು ತೆಗೆಯುವಿಕೆ, ಕುಡಿ ಚಿವುಟುವಿಕೆ",,,,,,,,,
,Desiccated copra,ಒಣಕೊಬ್ಬರಿ,,,,,,,,,
,Desiccation,ಒಣಗುವಿಕೆ,,,,,,,,,
,Dessert fruit,ಹಾಗೆಯೆ ತಿನ್ನುವ ಹಣ್ಣು,,,,,,,,,
,Dessert wine,ಹಾಗೆಯೇ ಸೇವಿಸಲು ಸೂಕ್ತವಿರುವ ದ್ರಾಕ್ಷಾರಸ,,,,,,,,,
,Desuckering,ಚಿಗುರನ್ನು ತೆಗೆಯುವುದು,,,,,,,,,
,Devil's cotton,"ದೆವ್ವಹತ್ತಿ, ಭಂಗಿಮರ",,,,,,,,,
,Devil's tree (Dita Bark),ಸಪ್ತಪರ್ಣಿವೃಕ್ಷ (ನೆರಳು ಮರ),,,,,,,,,
,Devitalize,"ನಿರ್ವೀರ್ಯಗೊಳಿಸು, ಸುಸ್ತಾಗಿಸು, ಬಲಹೀನಗೊಳಿಸು",,,,,,,,,
,Dewberry,ಡ್ಯೂಬೆರ್ರಿಹಣ್ಣು,,,,,,,,,
,Diad,ದ್ವಿ,,,,,,,,,
,Diagonal of quincunx system,ಬಹುಭುಜಾಕೃತಿಯಲ್ಲಿ ನೆಡುವ ಪದ್ಧತಿ,,,,,,,,,
,Diakinesis,"ದ್ವಿಗತಿಕ್ರಮ, ದ್ವಿಚಲನಕ್ರಮ",,,,,,,,,
,Diamond spot,ವಜ್ರ ಚುಕ್ಕೆರೋಗ,,,,,,,,,
,Dibble,ಒಂದೊಂದಾಗಿ ಹೂಳು,,,,,,,,,
,Dibbler,ಕುಳಿಗೋಲು,,,,,,,,,
,Dichasial cyme,ಧ್ವಿಮಧ್ಯಾರಂಭಿ,,,,,,,,,
,Dichogamy,ಭಿನ್ನ ಕಾಲ ಪಕ್ವತೆ (ಶಲಾಕೆ ಮತ್ತು ಕೇಸರಗಳು ಬೇರೆ ಬೇರೆ ಕಾಲದಲ್ಲಿ ಪಕ್ವವಾಗುವಿಕೆ),,,,,,,,,
,Didelphous stamen,ದ್ವಿಬಂಧ ಕೇಸರ,,,,,,,,,
,Die back,"ಸುಳಿಯ ಕಡೆಯಿಂದ ಒಣಗಿ ಸಾಯುವುದು, ಸುಳಿ ಒಣಗುವಿಕೆ, ಶೀರ್ಷಾರಂಭೀ ಕ್ಷಯ",,,,,,,,,
,Differenciation,"ವಿಭಿನ್ನಗೊಳ್ಳುವಿಕೆ, ವಿಭೇದನ",,,,,,,,,
,Diffusion,ವಿಸರಣ,,,,,,,,,
,Digestion,1. ಕಿಣ್ವಗಳಿಂದ ಆಹಾರ ವಿಘಟನೆ 2. ಪಚನಗೊಳ್ಳು ಜೀರ್ಣಗೊಳ್ಳು,,,,,,,,,
,Digging fork,"ಮುಳ್ಳುಸನಿಕೆ, ಮುಳ್ಳುಗುದ್ದಲಿ",,,,,,,,,
,Digging wasp,"ಸುರಂಗದ ಕಡಜಿಗ, ತೋಡಕಣಜ",,,,,,,,,
,Dihybrid,ದ್ವಿ ಸಂಕರ,,,,,,,,,
,Dill,ಸಬ್ಬಸಿಗೆ ಸೊಪ್ಪು,,,,,,,,,
,Dilo oil tree,ಹೊನ್ನೆ ಮರ,,,,,,,,,
,Diminution,ಕ್ರಮೇಣ ಕಡಿಮೆಯಾಗುವಿಕೆ,,,,,,,,,
,Dioecious,"ಏಕಲಿಂಗಿ, ಏಕಲಿಂಗಾಶ್ರಯಿ",,,,,,,,,
,Dioscoria,"ತುಣಗೆಣಸು, ನೂರೆಲೆಗೆಣಸು, ಮುಡಿಗೆಣಸು, ತುಪ್ಪದ ಗೆಣಸು",,,,,,,,,
,Diploid,ದ್ವಿಗುಣಿತ,,,,,,,,,
,Dipping,1. ರಾಳರಸದ ಬಟ್ಟಿ ಇಳಿಸುವಿಕೆ 2. ಅದ್ದುವುದು,,,,,,,,,
,Disbudding,"ಅನುಪಯುಕ್ತ ಮೊಗ್ಗು, ಹೂ ಕಾಂಡಗಳನ್ನು ತೆಗೆಯುವಿಕೆ",,,,,,,,,
,Disc,"ಬಿಲ್ಲೆ, ಚಕ್ರ",,,,,,,,,
,Disc floret,ಮಧ್ಯಾರಂಭಿ ಪುಷ್ಪ / ಕೇಂದ್ರ ಪುಷ್ಪ ಮಧ್ಯಭಾಗದಲ್ಲಿನ ಹೂಗಳು,,,,,,,,,
,Discolouring,"ಬಣ್ಣ ಗೆಡುವುದು, ಬಣ್ಣ ಹೋಗುವಂತೆ ಮಾಡುವುದು",,,,,,,,,
,Disease resistant,ರೋಗ ನಿರೋಧಕ,,,,,,,,,
,Disfigure,"ವಿಕಾರಗೊಳಿಸು, ಅಂದಗೆಡಿಸು",,,,,,,,,
,Dislodging,1. ಜೋಲು ಬೀಳಿಸದಿರುವುಕೆ 2. ಎಲೆಯ ಮೇಲಿನ ಧೂಳು ಜಾರುವಂತೆ ಮಾಡುವಿಕೆ,,,,,,,,,
,Dis-shooting,"ಚಿಗುರೊಡೆಯದಿರುವಿಕೆ, ಕುಡಿಯೊಡೆಯದಿರುವಿಕೆ",,,,,,,,,
,Distal end,"ಬೇರು ಭಾಗದಿಂದ ದೂರವಿರುವ, ಕಾಂಡ ಭಾಗಕ್ಕೆ ಸಮೀಪದ ಕಸಿ ತುಂಡಿನ ತುದಿ",,,,,,,,,
,Distichous,"ದ್ವಿಪಂಕ್ತಿಕ, ಎರಡು ಸಾಲಿನ, ದ್ವಿಸಾಲಿನ",,,,,,,,,
,Distillation plant,ಬಟ್ಟಿ ಇಳಿಸುವ ಸಾಧನ (ಸ್ಥಾವರ),,,,,,,,,
,Ditabark,"ಎಲೆಬಾಳೆ, ಏಳೆಲೆಬಾಳೆ, ಕಾಡುಸಾಲೆ, ಮದ್ದಾಲೆ, ಸಪ್ತಪರ್ಣಿ",,,,,,,,,
,Ditribution,"ವಿತರಣೆ, ಹಂಚಿಕೆ",,,,,,,,,
,Diversified farm,ವಿವಿಧೋನ್ಮುಖ ಫಾರ್ಮ್,,,,,,,,,
,Divi Divi,ಒಂದು ಅಲಂಕಾರಿಕ ವೃಕ್ಷ,,,,,,,,,
,Division,"1. ವಿಭಜನೆ ಮೂಲಕ ಸಸ್ಯಾಭಿವರ್ಧನೆ 2. ವಿಭಜಿಸುವುದು, ಬೇರ್ಪಡಿಸುವುದು",,,,,,,,,
,Divisional lines (in garden),"ವಿಭಾಜಕ ರೇಖೆಗಳು (ತೋಟದಲ್ಲಿ), ಬೇರ್ಪಡಿಸುವ ರೇಖೆಗಳು",,,,,,,,,
