ಆಡಳಿತಾತ್ಮಕ ಪದ (Administrative Word),ಇಂಗ್ಲೀಷ್ ಅರ್ಥ (English Meaning),ಇಂಗ್ಲೀಷ್ ಪದ (English Word),ಇಲಾಖೆ (Department),ಕನ್ನಡ ಅರ್ಥ (Kannada Meaning),ಕನ್ನಡ ಉಚ್ಚಾರಣೆ (Kannada Pronunciation),ಕನ್ನಡ ಪದ (Kannada Word),ದೀರ್ಘ ವಿವರಣೆ (Long Description),ಪರ್ಯಾಯ ಪದ (Synonyms),ವಿಷಯ ವರ್ಗೀಕರಣ (Subject),ವ್ಯಾಕರಣ ವಿಶೇಷ (Grammer),ಸಂಕ್ಷಿಪ್ತ ವಿವರಣೆ (Short Description)
,,Commencement of scheme,,ಕಾರ್ಯ ಯೋಜನೆಯ ಪ್ರಾರಂಭ,,,,,,,
,,Commercial reasons,,ವಾಣಿಜ್ಯ ಕಾರಣಗಳು,,,,,,,
,,Committee of adjustment,,ಹೊಂದಾಣಿಕೆಯ ಸಮಿತಿ,,,,,,,
,,Commodity prices,,ಸರಕಿನ ಬೆಲೆಗಳು,,,,,,,
,,Common rate,,ಸಾಮಾನ್ಯ ದರ,,,,,,,
,,Common to all series,,ಎಲ್ಲಾ ಶ್ರೇಣಿಗಳಿಗೂ ಸಾಮಾನ್ಯವಾದ ; ಎಲ್ಲಾ ಶ್ರೇಣಿಗಳಿಗೂ ಅನ್ವಹಯವಾದ,,,,,,,
,,Communication note,,ತಿಳಿವಳಿಕೆ ಟಿಪ್ಪಣಿ,,,,,,,
,,Commuted income tax,,ಪರಿವರ್ತಿತ ವರಮಾನ ತೆರಿಗೆ,,,,,,,
,,Comparative statement,,ತುಲನಾತ್ಮಕ ವಿವರಣೆ ; ತುಲನಾತ್ಮಕ ಪಟ್ಟಿ,,,,,,,
,,Compensation,,ನಷ್ಟಪರಿಹಾರ; ಪರಿಹಾರ,,,,,,,
,,Competent authority,,1. ಸಕ್ಷಮ ಅಧಿಕಾರಿ 2. ಸಕ್ಷಮ ಪ್ರಾಧಿಕಾರ,,,,,,,
,,Competitions from other states,,ಇತರ ರಾಜ್ಯಗಳ ಸ್ಪರ್ಧೆಗಳು,,,,,,,
,,Competitive tendency,,ಸ್ಪರ್ಧಾತ್ಮಕ ಪ್ರವೃತ್ತಿ,,,,,,,
,,Compound interest paid on maturity,,ಅವಧಿ ಮುಕ್ತಾಯದ ನಂತರ ಸಂದಾಯ ಮಾಡಿದ ಚಕ್ರಬಡ್ಡಿ,,,,,,,
,,Comprehensive chit funds,,ವ್ಯಾಪಕ ಚಿಟ್‌ ಫಂಡುಗಳು,,,,,,,
,,Comptometer,,ಲೆಕ್ಕಯಂತ್ರ ; ಕಚೇರಿಗಳಲ್ಲಿ ಬಳಸುವ ಒಂದು ರೀತಿಯ ಗಣಕ ಯಂತ್ರ,,,,,,,
,,Compulsory deposit,,ಕಡ್ಡಾಯ ಠೇವಣಿ,,,,,,,
,,Compulsory investment in the national savings certificates,,ರಾಷ್ಟ್ರೀಯ ಉಳಿತಾಯ ಪ್ರಮಾಣ ಪತ್ರಗಳಲ್ಲಿ ಕಡ್ಡಾಯ ಹೂಡಿಕೆ,,,,,,,
,,Concession,,ರಿಯಾಯಿತಿ,,,,,,,
,,Conclusion,,1. ಕೊನೆ; ಅಂತ್ಯ 2. ನಿರ್ಣಯ; ತೀರ್ಮಾನ,,,,,,,
,,Condition,,1. ಸ್ಥಿತಿ 2. ಷರತ್ತು,,,,,,,
,,Confidential visit,,ರಹಸ್ಯ ಭೇಟಿ,,,,,,,
,,Confiscate,,ಮುಟ್ಟುಗೋಲು ಹಾಕು; (ಸರಕಾರದ) ವಶಪಡಿಸಿಕೊಳ್ಳು,,,,,,,
,,Connected papers,,ಸಂಬಂಧಿಸಿದ ಕಾಗದ ಪತ್ರಗಳು,,,,,,,
,,Consent letter slips,,ಒಪ್ಪಿಗೆ ಪತ್ರಗಳು,,,,,,,
,,Consent slips secured during the year,,ವರ್ಷದಲ್ಲಿ ಪಡೆದ ಒಪ್ಪಿಗೆ ಪತ್ರಗಳು,,,,,,,
,,Consequent expenditure,,ತತ್‌ ಪರಿಣಾಮದ ವೆಚ್ಚ,,,,,,,
,,Considerable increase,,ಗಣನೀಯ ಹೆಚ್ಚಳ,,,,,,,
,,Consolidated fund of the state,,ರಾಜ್ಯದ ಸಂಚಿತ ನಿಧಿ,,,,,,,
,,Consolidated information,,ಕ್ರೋಡೀಕರಿಸಿದ ಮಾಹಿತಿ,,,,,,,
,,Consolidated voucher,,ಸಂಚಿತ ವೋಚರು / ರಸೀದಿ,,,,,,,
,,Consolidation of accounts and calculation of interest,,ಲೆಕ್ಕಪತ್ರಗಳ ಕ್ರೋಡೀಕರಣ ಮತ್ತು ಬಡ್ಡಿಯ ಗಣನೆ,,,,,,,
,,Constitutional right,,ಸಂವಿಧಾನಾತ್ಮಕ ಹಕ್ಕು,,,,,,,
,,Construction of socialistic pattern of society,,ಸಮಾಜವಾದಿ ಮಾದರಿ ಸಮಾಜದ ರಚನೆ,,,,,,,
,,Contingency book,,ಸಾದಿಲ್ವಾರು ಪುಸ್ತಕ,,,,,,,
,,Contingent establishment,,ಗೌಣ ಸಿಬ್ಬಂದಿ,,,,,,,
,,Continuance of special pay,,ವಿಶೇಷ ವೇತನದ ಮುಂದುವರಿಕೆ,,,,,,,
,,Contributions of employees,,ನೌಕರರ ವಂತಿಗೆಗಳು,,,,,,,
,,Controller of stamps,,ಮುದ್ರಾಂಕಗಳ ನಿಯಂತ್ರಕ,,,,,,,
,,Controlling authority,,1. ನಿಯಂತ್ರಣಾಧಿಕಾರ 2. ನಿಯಂತ್ರಣಾಧಿಕಾರಿ,,,,,,,
,,Convener,,"ಆಮಂತ್ರಕ ; ಸಂಚಾಲಕ; ಮು. ಮಂಡಲಿ, ಮೊ.ವುಗಳ ಸಭೆಗಳನ್ನು ಕರೆಯುವವನು",,,,,,,
,,Conversion facility,,ಪರಿವರ್ತನ ಸೌಲಭ್ಯ,,,,,,,
,,Convertible subscription,,ಪರಿವರ್ತನಶೀಲ ವಂತಿಗೆ,,,,,,,
,,Co-operative bank,,ಸಹಕಾರಿ ಬ್ಯಾಂಕು,,,,,,,
,,Co-operative society,,ಸಹಕಾರಿ ಸಂಘ,,,,,,,
,,Correctness of the claims,,ಹಕ್ಕು ಸಾಧನೆಗಳ ಋಜುತ್ವ,,,,,,,
,,Corresponding entry,,ಸಂವಾದಿ ನಮೂದು,,,,,,,
,,Corresponding savings,,ಸಂವಾದಿ ಉಳಿತಾಯಗಳು,,,,,,,
,,Cost of establishment,,ಸಿಬ್ಬಂದಿ ವೆಚ್ಚ,,,,,,,
,,Cost of printing and paper,,ಮುದ್ರಣ ಹಾಗೂ ಕಾಗದ ವೆಚ್ಚ,,,,,,,
,,Counterfoil,,ಪಕ್ಕದ ಪ್ರತಿ; ಇದಿರು ಪ್ರತಿ,,,,,,,
,,Counterpart,,ಪ್ರತಿರೂಪ,,,,,,,
,,Coupon,,ಕೂಪನ್‌ ; ಗುರುತು ಚೀಟಿ,,,,,,,
,,Coupon system,,ಕೂಪನ್‌ ಪದ್ಧತಿ,,,,,,,
,,Court of law,,ನ್ಯಾಯಾಲಯ,,,,,,,
,,Creating demand,,ಬೇಡಿಕೆಯನ್ನುಂಟು ಮಾಡುವುದು,,,,,,,
,,Credentials,,ಅಧಿಕಾರ ಪತ್ರ; ಪರಿಚಯ ಪತ್ರ,,,,,,,
,,Credit,,ಜಮಾ,,,,,,,
,,Credit confirmation certificate,,ಜಮಾ ಸ್ಥಿರೀಕರಣ ಪ್ರಮಾಣಪತ್ರ,,,,,,,
,,Criminal offence,,ಕ್ರಿಮಿನಲ್‌ ಅಪರಾಧ,,,,,,,
,,Criterion,,ನಿರ್ಣಾಯಕ ಅಂಶ,,,,,,,
,,Crossed cheque,,ಕ್ರಾಸ್ಡ್‌ ಚೆಕ್‌; ಅಡ್ಡಗೆರೆ ಹುಂಡಿ,,,,,,,
,,Cumulative time deposit accounts,,ಸಂಚಿತ ಅವಧಿ ಠೇವಣಿ ಖಾತೆಗಳು,,,,,,,
,,Currency period,,ಚಲಾವಣೆ ಅವಧಿ,,,,,,,
,,Current income,,ಚಾಲ್ತಿ ಆದಾಯ,,,,,,,
,,Current year’s budget allotment,,ಚಾಲ್ತಿ ವರ್ಷದ ಬಜೆಟ್‌ ಹಂಚಿಕೆ; ಚಾಲ್ತಿ ವರ್ಷದ ಆಯವ್ಯಯ ಹಂಚಿಕೆ,,,,,,,
,,Cut-throat competition,,ಘಾತಕ ಸ್ಪರ್ಧೆ,,,,,,,
,,Date of appointment,,ನೇಮಕಾತಿಯ ದಿನಾಂಕ,,,,,,,
,,Date of commencement of subscription,,ವಂತಿಗೆಯ ಪ್ರಾರಂಭದ ದಿನಾಂಕ,,,,,,,
,,Date of deduction of income tax,,ವರಮಾನ ತೆರಿಗೆಯ ಮುರಿತದ ದಿನಾಂಕ,,,,,,,
,,Date of delivery,,ಬಟವಾಡೆಯ ದಿನಾಂಕ,,,,,,,
,,Date of issue,,ನೀಡಿಕೆಯ ದಿನಾಂಕ,,,,,,,
,,Date of presentation of old certificates,,ಹಳೆಯ ಪ್ರಮಾಣ ಪತ್ರಗಳನ್ನು ಹಾಜರುಪಡಿಸುವ ದಿನಾಂಕ,,,,,,,
,,Date of promotion to higher group,,ಉನ್ನತ ವರ್ಗಕ್ಕೆ ಬಡ್ತಿ ನೀಡಿದ ದಿನಾಂಕ,,,,,,,
,,Date of remittance,,ಇರಸಾಲು / ಹಣ ರವಾನೆ ದಿನಾಂಕ,,,,,,,
,,Date now proposed,,ಈಗ ಪ್ರಸ್ತಾವಿಸಿದ ದಿನಾಂಕ,,,,,,,
,,Date originally fixed,,ಮೊದಲೇ ನಿಗದಿ ಮಾಡಿದ ದಿನಾಂಕ,,,,,,,
,,Day-to-day sales,,ದಿನದಿನದ ಮಾರಾಟ,,,,,,,
,,Dealers,,ವ್ಯಾಪಾರಿಗಳು,,,,,,,
,,Death of the holder of the certificate,,ಪ್ರಮಾಣಪತ್ರ ಪಡೆದವನ ಮರಣ,,,,,,,
,,Debenture,,ಡಿಬೆಂಚರ್‌; ಸಾಲಪತ್ರ,,,,,,,
,,Debitable,,ಖರ್ಚು ಹಾಕಬಹುದಾದ,,,,,,,
,,Deceased govt servant,,ಸತ್ತ ಸರ್ಕಾರಿ ನೌಕರ,,,,,,,
,,Deceased nominee,,ಮೃತ ನಾಮನಿರ್ದೇಶಿತ (ವ್ಯಕ್ತಿ),,,,,,,
,,Decided to revoke,,ರದ್ದುಮಾಡಲು ನಿರ್ಧರಿಸಿದ,,,,,,,
,,Declaration form,,ಘೋಷಣಾ ನಮೂನೆ,,,,,,,
,,Declaration of loss,,ನಷ್ಟದ ಫೋಷಣೆ,,,,,,,
,,Declined sales position,,ಇಳಿಮುಖವಾದ ಮಾರಾಟದ ಸ್ಥಿತಿ,,,,,,,
,,Decline in sales,,ಮಾರಾಟದಲ್ಲಿ ಇಳಿಕೆ,,,,,,,
,,Decree,,1. ಡಿಕ್ರಿ / ನ್ಯಾಯಾಜ್ಞೆ ಮಾಡು 2. ಡಿಕ್ರಿ; ನ್ಯಾಯಾಜ್ಞಿ,,,,,,,
,,Deducting tax at source,,ಮೂಲದಲ್ಲಿ ತೆರಿಗೆ ಮುರಿದುಕೊಳ್ಳುವುದು,,,,,,,
,,Deduction of income tax,,ವರಮಾನ ತೆರಿಗೆಯ ಮುರಿತ / ಕಡಿತ,,,,,,,
,,Default fee,,ತಪ್ಪಿತದ ಶುಲ್ಕ,,,,,,,
,,Defeasance,,ರದ್ದತಿ; ರದ್ದು ಮಾಡುವುದು,,,,,,,
,,Defence deposit certificate,,ರಕ್ಷಣಾ ಠೇವಣಿ ಪ್ರಮಾಣ ಪತ್ರ,,,,,,,
,,Definitions of the schemes,,ಕಾರ್ಯ ಯೋಜನೆಗಳ ವ್ಯಾಖ್ಯೆಗಳು,,,,,,,
,,Defray expenditure,,ವೆಚ್ಚವಹಿಸು,,,,,,,
,,Delayed remittances,,ವಿಳಂಬಿತ ಇರಸಾಲುಗಳು / ಹಣ ರವಾನೆಗಳು,,,,,,,
,,Delay in remittance of sale proceeds,,ಮಾರಾಟದಿಂದ ಬ೦ದ ಹಣದ ವಿಳಂಬಿತ ಇರಸಾಲು,,,,,,,
,,Del credere,,(ವ್ಯಾಪಾರ ಪ್ರತಿನಿಧಿಯ) ಭರವಸೆಯ ರುಸುಮು,,,,,,,
,,Delegation of executive powers,,ಕಾರ್ಯನಿರ್ವಾಹಕ ಅಧಿಕಾರಗಳ ಪ್ರತ್ಯಾಯೋಜನೆ,,,,,,,
,,Delivery vans,,ಹಂಚಿಕೆ ವ್ಯಾನುಗಳು,,,,,,,
,,Demand,,1. ಬೇಡು; ತಗಾದೆ ಮಾಡು; ಹಕ್ಕೊತ್ತಾಯಿಸು 2. ಬೇಡಿಕೆ; ತಗಾದೆ; ಹಕ್ಕೊತ್ತಾಯ,,,,,,,
,,Demand draft (DD),,ಡಿಮಾಂಡ್‌ ಡ್ರಾಫ್ಟ್‌ (ಡಿ.ಡಿ.); ಧನಾದೇಶ,,,,,,,
,,Demand for certificates,,ಪ್ರಮಾಣ ಪತ್ರಗಳಿಗೆ ಬೇಡಿಕೆ,,,,,,,
,,Demi-official (D.O) reminder,,ಅರೆ ಸರ್ಕಾರಿ (ಅ.ಸ.) ಜ್ಞಾಪನಪತ್ರ,,,,,,,
,,Denomination,,1. ಹೆಸರು 2. ವರ್ಗ 3. ಮೌಲ್ಯವರ್ಗ,,,,,,,
,,Denomination certificate,,ಮೌಲ್ಯವರ್ಗದ ಪ್ರಮಾಣಪತ್ರ,,,,,,,
,,Denomination of bond,,ಬಾಂಡಿನ ಮೌಲ್ಯವರ್ಗ,,,,,,,
,,Denomination of certificate,,ಪ್ರಮಾಣಪತ್ರದ ಮೌಲ್ಯವರ್ಗ,,,,,,,
,,Denominations of issue,,ನೀಡಿಕೆಯ ಮೌಲ್ಯವರ್ಗಗಳು,,,,,,,
,,Department of economic affairs,,ಆರ್ಥಿಕ ವ್ಯವಹಾರಗಳ ಇಲಾಖೆ,,,,,,,
,,Department of law and parliamentary affairs,,ಕಾನೂನು ಮತ್ತು ಸಂಸದೀಯ ವ್ಯವಹಾರಗಳ ಇಲಾಖೆ,,,,,,,
,,Deposit amount,,ಠೇವಣಿ ಮೊತ್ತ,,,,,,,
,,Depositor,,ಠೇವಣಿದಾರ; ಹೂಡಿಕೆದಾರ,,,,,,,
,,Deposits,,ಠೇವಣಿಗಳು,,,,,,,
,,Deposits in public provident fund,,ಸಾರ್ವಜನಿಕ ಭವಿಷ್ಯನಿಧಿಯಲ್ಲಿ ಠೇವಣಿಗಳು,,,,,,,
,,Deputy director (administration),,ಉಪನಿರ್ದೇಶಕ (ಆಡಳಿತ),,,,,,,
,,Deputy minister for finance,,ಹಣಕಾಸಿನ ಉಪಸಚಿವ,,,,,,,
,,Deputy regional director of national savings organization.,,ರಾಷ್ಟ್ರೀಯ ಉಳಿತಾಯ ಸಂಸ್ಥೆಯ ಉಪಪ್ರಾದೇಶಿಕ ನಿರ್ದೇಶಕ,,,,,,,
,,"Deputy secretary to govt., finance department",,"ಸರ್ಕಾರದ ಉಪಕಾರ್ಯದರ್ಶಿ, ಹಣಕಾಸು ಇಲಾಖೆ",,,,,,,
,,Description of series,,ಶ್ರೇಣಿಗಳ ವಿವರಣೆ,,,,,,,
,,Design and distinct alphabetical notation,,ವಿನ್ಯಾಸ ಹಾಗೂ ವಿಶಿಷ್ಟ ಆಕಾರಾದಿ ಅಂಕನ,,,,,,,
,,Designation,,ಪದನಾಮ; ಹುದ್ದೆಯ ಹೆಸರು,,,,,,,
,,Desk/table calculator,,ಇಳಿಮೇಜು / ಮೇಜು ಗಣಕ (ಯಂತ್ರ),,,,,,,
,,Destroyed or mutilated,,ಹಾಳಾದ ಯಾ ಹರಿದ,,,,,,,
,,Destruction,,ನಾಶ; ಹಾಳುಮಾಡುವುದು,,,,,,,
,,Detailed heads,,ಸವಿಸ್ತರ ಶೀರ್ಷಿಕೆಗಳು,,,,,,,
,,Detailed procedure,,ಸವಿಸ್ತರ ಕಾರ್ಯವಿಧಾನ,,,,,,,
,,Details of property,,ಆಸ್ತಿಯ ವಿವರಗಳು,,,,,,,
,,Detection,,ಪತ್ತೆ ಮಾಡುವುದು; ಕಂಡು ಹಿಡಿಯುವುದು,,,,,,,
,,Development activities,,ಅಭಿವೃದ್ಧಿ ಚಟುವಟಿಕೆಗಳು; ಅಭಿವೃದ್ಧಿ ಕಾರ್ಯಗಳು,,,,,,,
,,Developmental purposes,,ಅಭಿವೃದ್ಧಿ ಉದ್ದೇಶಗಳು,,,,,,,
,,Developmental schemes,,ಅಭಿವೃದ್ಧಿ ಕಾರ್ಯ ಯೋಜನೆಗಳು,,,,,,,
,,Development officer of small savings,,ಸಣ್ಣ ಉಳಿತಾಯಗಳ ಅಭಿವೃದ್ಧಿ ಅಧಿಕಾರಿ,,,,,,,
,,Development of small savings,,ಸಣ್ಣ ಉಳಿತಾಯಗಳ ಅಭಿವೃದ್ಧಿ,,,,,,,
,,Digits,,ಅಂಕಿಗಳು,,,,,,,
,,Direct control,,ನೇರ ನಿಯಂತ್ರಣ,,,,,,,
,,Direct distribution system,,ನೇರ ವಿತರಣ ಪದ್ಧತಿ,,,,,,,
,,Directorate of small savings (finance dept.),,ಸಣ್ಣ ಉಳಿತಾಯಗಳ ನಿರ್ದೇಶನಾಲಯ (ಹಣಕಾಸು ಇಲಾಖೆ),,,,,,,
,,Director general of post and telegraphs,,ಅಂಚೆ ಮತ್ತು ತಂತಿ ಮಹಾನಿರ್ದೇಶಕರು,,,,,,,
,,Director of forensic science laboratory,,ನ್ಯಾಯ ವಿಜ್ಞಾನ ಪ್ರಯೋಗಾಲಯದ ನಿರ್ದೇಶಕ,,,,,,,
,,Disaffirm,,ರದ್ದುಮಾಡು,,,,,,,
,,Disallow,,ನಿರಾಕರಿಸು; ತಳ್ಳಿಹಾಕು,,,,,,,
,,Disbursement,,ಬಟವಾಡೆ; ವಿತರಣೆ,,,,,,,
,,Disbursement procedure,,ಬಟವಾಡೆ ಕಾರ್ಯವಿಧಾನ,,,,,,,
,,Disbursing officer,,ಬಟವಾಡೆ ಅಧಿಕಾರಿ,,,,,,,
,,Discharge of bonds,,ಬಾಂಡುಗಳ ಬಿಡುಗಡೆ,,,,,,,
,,Discharge of certificates,,ಪ್ರಮಾಣಪತ್ರಗಳ ಬಿಡುಗಡೆ,,,,,,,
,,Discharge value,,ಬಿಡುಗಡೆ ಮೌಲ್ಯ,,,,,,,
,,Discount,,ಸೋಡಿ; ವಟ್ಟ,,,,,,,
,,Discrepancies noticed,,ಗಮನಿಸಿದ ವ್ಯತ್ಯಾಸಗಳು,,,,,,,
,,Discretion,,ವಿವೇಚನೆ,,,,,,,
,,Discrimination,,1. ವಿವೇಚನೆ 2. ತಾರತಮ್ಯ; ಭೇದಭಾವ,,,,,,,
,,Discs bearing digits,,ಅಂಕಿಗಳುಳ್ಳ ಬಿಲ್ಲೆಗಳು,,,,,,,
,,Display,,1 ಪ್ರದರ್ಶಿಸು 2. ಪ್ರದರ್ಶನ,,,,,,,
,,Displayed on notice board,,ನೋಟೀಸ್‌ ಬೋರ್ಡಿನ ಮೇಲೆ ಪ್ರದರ್ಶಿಸಿದೆ,,,,,,,
,,Display of advertisement,,ಜಾಹೀರಾತಿನ ಪ್ರದರ್ಶನ,,,,,,,
,,Disposal of cheques,,ಚೆಕ್ಕುಗಳ ವಿಲೇವಾರಿ,,,,,,,
,,Disposal of claims,,ಹಕ್ಕು ಸಾಧನೆಗಳ ವಿಲೇವಾರಿ,,,,,,,
,,Disposal of out-standing audit objections,,ಬಾಕಿ ಉಳಿದ ಲೆಕ್ಕಪರಿಶೋಧನ ಆಕ್ಷೇಪಣೆಗಳ ವಿಲೇವಾರಿ,,,,,,,
,,Disputes,,1. ವಾದಗಳು 2. ವ್ಯಾಜ್ಯಗಳು,,,,,,,
,,Dissolve,,1. ರದ್ದುಮಾಡು 2. ವಿಸರ್ಜಿಸು 3. ಕರಗಿಸು 4. ಕರಗು,,,,,,,
,,Distinct and separate series,,ವಿಶಿಷ್ಟ ಮತ್ತು ಪ್ರತ್ಯೇಕ ಶ್ರೇಣಿಗಳು,,,,,,,
,,Distribution arrangements,,ವಿತರಣ ವ್ಯವಸ್ಥೆ ಗಳು,,,,,,,
,,Distribution list,,ವಿತರಣ ಪಟ್ಟಿ,,,,,,,
,,Distribution pattern,,ವಿತರಣ ಮಾದರಿ,,,,,,,
,,District savings officer,,ಜಿಲ್ಲಾ ಉಳಿತಾಯ ಅಧಿಕಾರಿ,,,,,,,
,,District treasury figures,,ಜಿಲ್ಲಾ ಖಜಾನೆ ಅಂಕಿ ಅಂಶಗಳು,,,,,,,
,,Dividend earnings,,ಲಾಭಾಂಶ ಗಳಿಕೆಗಳು,,,,,,,
,,Dividends,,ಲಾಭಾಂಶಗಳು,,,,,,,
,,Dividend warrant,,ಲಾಭಾಂಶ ಅಧಿಪತ್ರ,,,,,,,
,,Divisional manager,,ವಿಭಾಗೀಯ ವ್ಯವಸ್ಥಾಪಕ,,,,,,,
,,Divulging unauthorised use of official documents,,ಕಚೇರಿ ದಸ್ತಾವೇಜುಗಳ ಅನಧಿಕೃತ ಬಳಕೆಯನ್ನು ಬಯಲು ಮಾಡುವುದು,,,,,,,
,,Docket sheet,,ವಿಷಯ ಸೂಚಿ ಹಾಳೆ,,,,,,,
,,Documents for state custody,,ರಾಜ್ಯದ ವಶಕ್ಕೆ ದಸ್ತಾವೇಜುಗಳು,,,,,,,
,,Double claim,,ಇಮ್ಮಡಿ ಹಕ್ಕು ಸಾಧನೆ,,,,,,,
,,Doubling savings,,ಉಳಿತಾಯಗಳನ್ನು ಇಮ್ಮಡಿಗೊಳಿಸುವುದು,,,,,,,
,,Draft acknowledged,,ಡ್ರಾಫ್ಟ್ ಸ್ವೀಕೃತವಾಗಿದೆ,,,,,,,
,,Draft challan and cheque,,ಡ್ರಾಫ್ಟ್‌ ಚಲನ್‌ ಮತ್ತು ಚೆಕ್ಕು,,,,,,,
,,Draft circular,,ಕರಡು ಸುತ್ತೋಲೆ,,,,,,,
,,Draft for approval,,ಕರಡು ಅನುಮೋದನೆಗಾಗಿ,,,,,,,
,,Draft govt. order (G.O),,ಕರಡು ಸರ್ಕಾರಿ ಆದೇಶ (ಸ.ಆ.),,,,,,,
,,Draft letter,,ಕರಡು ಪತ್ರ,,,,,,,
,,Draft order,,ಕರಡು ಆದೇಶ,,,,,,,
,,Draft reply,,ಕರಡು ಉತ್ತರ,,,,,,,
,,Draft rules,,ಕರಡು ನಿಯಮಗಳು,,,,,,,
,,Draft submission note,,ಕರಡು ನಿವೇದನಾ ಟಿಪ್ಪಣಿ,,,,,,,
,,Drop in the sale,,ಮಾರಾಟದಲ್ಲಿ ಕುಸಿತ,,,,,,,
,,Due date of delivery,,ಬಟವಾಡೆಯ ವಾಯಿದೆ ದಿನಾಂಕ,,,,,,,
,,Due deterrent effect,,ಯುಕ್ತ ನಿರೋಧಕ ಪರಿಣಾಮ,,,,,,,
,,Duly checked,,ಯಥೋಚಿತವಾಗಿ ತನಿಖೆ ಮಾಡಿದ,,,,,,,
,,Duplicate bond,,ನಕಲು ಬಾಂಡು,,,,,,,
,,Duplicate certificate:,,ನಕಲು ಪ್ರಮಾಣಪತ್ರ,,,,,,,
,,Duplicate cheque,,ನಕಲು ಚೆಕ್ಕು,,,,,,,
,,Duplicate copy,,ನಕಲು: ಪ್ರತಿ,,,,,,,
,,Duplicate copy of the information,,ಮಾಹಿತಿಯ ನಕಲು ಪ್ರತಿ,,,,,,,
,,Duplicate pass book:,,ನಕಲು ಪಾಸ್‌ ಬುಕ್ಕು,,,,,,,
,,Duplicate treasury challan,,ನಕಲು ಖಜಾನೆ ಚಲನ್‌,,,,,,,
,,Earlier decision,,ಮೊದಲಿನ ನಿರ್ಧಾರ,,,,,,,
,,Earlier notice,,ಮೊದಲಿನ ನೋಟೀಸು / ಸೂಚನೆ,,,,,,,
,,Early orders,,ಶೀಘ್ರ ಆದೇಶಗಳು,,,,,,,
,,Earnest money,,ಮುಂಗಡ ಪಾವತಿ ಮಾಡಿದ ಹಣ,,,,,,,
,,Earnings and savings,,ಗಳಿಕೆ ಮತ್ತು ಉಳಿತಾಯ,,,,,,,
,,Easy instalments,,ಸುಲಭ ಕಂತುಗಳು,,,,,,,
,,Eclat,,ಗೆಲವು; ಸಂಭ್ರಮ,,,,,,,
,,Economic affairs,,ಆರ್ಥಿಕ ವ್ಯವಹಾರಗಳು,,,,,,,
,,Economical,,1. ಆರ್ಥಿಕ 2. ಮಿತವ್ಯಯ,,,,,,,
,,Economic development,,ಆರ್ಥಿಕ ಅಭಿವೃದ್ಧಿ,,,,,,,
,,Economic instability and increasing the gap,,ಆರ್ಥಿಕ ಅಭದ್ರತೆ ಮತ್ತು ಅಂತರ ಹೆಚ್ಚಿಸುವುದು,,,,,,,
,,Economic stability and equality,,ಆರ್ಥಿಕ ಭದ್ರತೆ ಮತ್ತು ಸಮಾನತೆ,,,,,,,
,,Economy,,1. ಮಿತವ್ಯಯ 2. ಅರ್ಥವ್ಯವಸ್ಥೆ,,,,,,,
,,Educational institute,,ಶಿಕ್ಷಣ ಸಂಸ್ಥೆ,,,,,,,
,,Effective detection,,ಪರಿಣಾಮಕಾರಿ ಪತ್ತೇದಾರಿಕೆ,,,,,,,
,,Effective media of publicity,,ಪರಿಣಾಮಕಾರಿ ಪ್ರಚಾರ ಮಾಧ್ಯಮಗಳು,,,,,,,
,,Efficient coding system,,ಸಮರ್ಥ ಸಂಕೇತನ ಪದ್ಧತಿ,,,,,,,
,,Elected members,,ಚುನಾಯಿತ ಸದಸ್ಯರು,,,,,,,
,,Electronic display calculator,,ಎಲೆಕ್ಟ್ರಾನಿಕ್‌ ಪ್ರದರ್ಶನ ಗಣಕಯಂತ್ರ,,,,,,,
,,Electronic pocket size calculator,,ಜೇಬುಗಾತ್ರದ ಎಲೆಕ್ಟ್ರಾನಿಕ್‌ ಗಣಕಯಂತ್ರ,,,,,,,
,,Eligibility,,ಅರ್ಹತೆ,,,,,,,
,,Employees’ associations,,ನೌಕರರ ಸಂಘ,,,,,,,
,,Employees’ group insurance scheme (E.G.LS.),,ನೌಕರರ ಸಾಮೂಹಿಕ ವಿಮಾ ಕಾರ್ಯ ಯೋಜನೆ (ಸಾ.ಸಾ.ವಿ.ಯೋ),,,,,,,
,,Employees’ provident fund act (E.P.F.A.),,ನೌಕರರ ಭವಿಷ್ಯನಿಧಿ ಅಧಿನಿಯಮ (ನೌ.ಭ.ನಿ.ಅ.),,,,,,,
,,Employee’s provident fund money (E.P.F. Money),,ನೌಕರರ ಭವಿಷ್ಯ ನಿಧಿ ಹಣ (ನಾ.ಭ.ನಿ. ಹಣ),,,,,,,
,,Encashment certificate,,ನಗದೀಕರಣ ಪ್ರಮಾಣಪತ್ರ,,,,,,,
,,Encashment of bond,,ಬಾಂಡ್‌ ಪತ್ರದ ನಗದೀಕರಣ,,,,,,,
,,Encashment of minor’s certificate,,ಅಪ್ರಾಪ್ತ ವಯಸ್ಕನ ಪ್ರಮಾಣಪತ್ರದ ನಗದೀಕರಣ,,,,,,,
,,Encashment value,,ನಗದೀಕರಣ ಮೌಲ್ಯ,,,,,,,
,,Enclosed petition,,ಲಗತ್ತಿಸಿದ ಮನವಿ,,,,,,,
,,Encouragement for sale,,ಮಾರಾಟಕ್ಕೆ ಪ್ರೋತ್ಸಾಹ,,,,,,,
